Date_from;Date_to;KROPPAN BRU;MOHOLTLIA;SELSBAKK;MOHOLT RAMPE 2;Jonsvannsveien vest for Steinanvegen
03.12.2018 09:00;03.12.2018 10:00;2441;1179;379;127;481
03.12.2018 10:00;03.12.2018 11:00;2457;1177;363;119;511
03.12.2018 11:00;03.12.2018 12:00;2687;1277;417;158;546
03.12.2018 12:00;03.12.2018 13:00;2726;1292;427;150;540
03.12.2018 13:00;03.12.2018 14:00;2917;1325;490;168;636
03.12.2018 14:00;03.12.2018 15:00;3480;1523;599;176;688
03.12.2018 15:00;03.12.2018 16:00;4746;2723;746;256;1036
03.12.2018 16:00;03.12.2018 17:00;4164;2799;609;345;960
03.12.2018 17:00;03.12.2018 18:00;2836;1394;494;183;676
03.12.2018 18:00;03.12.2018 19:00;2405;1163;451;152;651
03.12.2018 19:00;03.12.2018 20:00;2156;1085;425;143;571
03.12.2018 20:00;03.12.2018 21:00;1898;809;349;117;447
03.12.2018 21:00;03.12.2018 22:00;1350;547;243;88;324
03.12.2018 22:00;03.12.2018 23:00;1019;390;203;48;212
03.12.2018 23:00;04.12.2018 00:00;499;165;107;22;75
04.12.2018 00:00;04.12.2018 01:00;161;70;30;5;27
04.12.2018 01:00;04.12.2018 02:00;79;31;11;3;12
04.12.2018 02:00;04.12.2018 03:00;73;33;11;3;12
04.12.2018 03:00;04.12.2018 04:00;71;28;13;1;19
04.12.2018 04:00;04.12.2018 05:00;158;81;24;2;33
04.12.2018 05:00;04.12.2018 06:00;566;347;83;10;71
04.12.2018 06:00;04.12.2018 07:00;2713;1341;471;73;369
04.12.2018 07:00;04.12.2018 08:00;4454;2513;740;201;925
04.12.2018 08:00;04.12.2018 09:00;3664;2090;545;213;852
04.12.2018 09:00;04.12.2018 10:00;2506;1237;394;121;476
04.12.2018 10:00;04.12.2018 11:00;2397;1100;345;120;483
04.12.2018 11:00;04.12.2018 12:00;2538;1236;419;133;515
04.12.2018 12:00;04.12.2018 13:00;2596;1220;413;175;556
04.12.2018 13:00;04.12.2018 14:00;2854;1329;500;152;680
04.12.2018 14:00;04.12.2018 15:00;3464;1618;592;163;629
04.12.2018 15:00;04.12.2018 16:00;4663;2590;753;323;1052
04.12.2018 16:00;04.12.2018 17:00;4168;2593;630;318;861
04.12.2018 17:00;04.12.2018 18:00;2787;1281;533;173;648
04.12.2018 18:00;04.12.2018 19:00;2441;1154;464;159;636
04.12.2018 19:00;04.12.2018 20:00;2216;996;395;141;480
04.12.2018 20:00;04.12.2018 21:00;1975;865;337;114;457
04.12.2018 21:00;04.12.2018 22:00;1389;626;277;89;358
04.12.2018 22:00;04.12.2018 23:00;1069;462;196;63;219
04.12.2018 23:00;05.12.2018 00:00;580;187;97;39;118
05.12.2018 00:00;05.12.2018 01:00;183;80;25;6;52
05.12.2018 01:00;05.12.2018 02:00;95;43;20;6;24
05.12.2018 02:00;05.12.2018 03:00;88;40;17;3;11
05.12.2018 03:00;05.12.2018 04:00;63;39;20;4;14
05.12.2018 04:00;05.12.2018 05:00;141;91;24;5;23
05.12.2018 05:00;05.12.2018 06:00;537;299;80;5;64
05.12.2018 06:00;05.12.2018 07:00;2526;1276;418;57;359
05.12.2018 07:00;05.12.2018 08:00;4163;2344;675;203;886
05.12.2018 08:00;05.12.2018 09:00;3637;2136;505;206;899
05.12.2018 09:00;05.12.2018 10:00;2371;1288;357;122;460
05.12.2018 10:00;05.12.2018 11:00;2342;1222;351;97;457
05.12.2018 11:00;05.12.2018 12:00;2457;1213;392;114;455
05.12.2018 12:00;05.12.2018 13:00;2506;1363;418;117;525
05.12.2018 13:00;05.12.2018 14:00;2770;1457;458;164;567
05.12.2018 14:00;05.12.2018 15:00;3403;1827;605;172;599
05.12.2018 15:00;05.12.2018 16:00;4523;2717;695;305;1023
05.12.2018 16:00;05.12.2018 17:00;3983;2369;648;296;976
05.12.2018 17:00;05.12.2018 18:00;2696;1330;449;161;623
05.12.2018 18:00;05.12.2018 19:00;2442;1161;445;131;596
05.12.2018 19:00;05.12.2018 20:00;2207;1048;402;150;519
05.12.2018 20:00;05.12.2018 21:00;1850;812;322;107;384
05.12.2018 21:00;05.12.2018 22:00;1378;607;273;81;299
05.12.2018 22:00;05.12.2018 23:00;1059;397;210;43;242
05.12.2018 23:00;06.12.2018 00:00;555;203;99;42;127
06.12.2018 00:00;06.12.2018 01:00;187;63;62;7;36
06.12.2018 01:00;06.12.2018 02:00;104;38;19;6;22
06.12.2018 02:00;06.12.2018 03:00;69;22;14;4;13
06.12.2018 03:00;06.12.2018 04:00;93;43;14;4;23
06.12.2018 04:00;06.12.2018 05:00;171;98;35;2;28
06.12.2018 05:00;06.12.2018 06:00;518;313;85;12;58
06.12.2018 06:00;06.12.2018 07:00;2568;1358;429;54;379
06.12.2018 07:00;06.12.2018 08:00;4305;2344;690;204;905
06.12.2018 08:00;06.12.2018 09:00;3463;2057;563;206;852
06.12.2018 09:00;06.12.2018 10:00;2428;1263;356;122;445
06.12.2018 10:00;06.12.2018 11:00;2428;1247;360;133;474
06.12.2018 11:00;06.12.2018 12:00;2522;1225;388;131;495
06.12.2018 12:00;06.12.2018 13:00;2598;1218;428;141;505
06.12.2018 13:00;06.12.2018 14:00;2772;1314;468;156;537
06.12.2018 14:00;06.12.2018 15:00;3576;1612;616;160;618
06.12.2018 15:00;06.12.2018 16:00;4750;2545;724;299;953
06.12.2018 16:00;06.12.2018 17:00;4125;2033;620;262;906
06.12.2018 17:00;06.12.2018 18:00;2981;1614;542;180;648
06.12.2018 18:00;06.12.2018 19:00;2688;1486;452;163;586
06.12.2018 19:00;06.12.2018 20:00;2325;1107;395;165;514
06.12.2018 20:00;06.12.2018 21:00;1900;827;335;107;426
06.12.2018 21:00;06.12.2018 22:00;1498;664;280;75;343
06.12.2018 22:00;06.12.2018 23:00;1057;434;234;45;235
06.12.2018 23:00;07.12.2018 00:00;586;224;96;30;134
07.12.2018 00:00;07.12.2018 01:00;251;92;32;8;53
07.12.2018 01:00;07.12.2018 02:00;134;47;33;7;24
07.12.2018 02:00;07.12.2018 03:00;101;30;22;4;21
07.12.2018 03:00;07.12.2018 04:00;102;39;20;1;19
07.12.2018 04:00;07.12.2018 05:00;161;81;30;5;21
07.12.2018 05:00;07.12.2018 06:00;547;278;75;10;57
07.12.2018 06:00;07.12.2018 07:00;2515;1195;387;53;335
07.12.2018 07:00;07.12.2018 08:00;4186;2132;648;205;852
07.12.2018 08:00;07.12.2018 09:00;3374;1874;537;192;877
07.12.2018 09:00;07.12.2018 10:00;2351;1193;395;118;499
07.12.2018 10:00;07.12.2018 11:00;2547;1251;384;157;532
07.12.2018 11:00;07.12.2018 12:00;2767;1377;442;168;563
07.12.2018 12:00;07.12.2018 13:00;2927;1357;491;208;598
07.12.2018 13:00;07.12.2018 14:00;3303;1547;537;190;650
07.12.2018 14:00;07.12.2018 15:00;4062;1832;702;208;766
07.12.2018 15:00;07.12.2018 16:00;4897;2440;765;280;1026
07.12.2018 16:00;07.12.2018 17:00;3944;1917;567;264;870
07.12.2018 17:00;07.12.2018 18:00;2980;1239;536;147;597
07.12.2018 18:00;07.12.2018 19:00;2646;1048;459;172;570
07.12.2018 19:00;07.12.2018 20:00;1793;782;336;122;408
07.12.2018 20:00;07.12.2018 21:00;1500;547;258;87;318
07.12.2018 21:00;07.12.2018 22:00;1132;503;193;65;219
07.12.2018 22:00;07.12.2018 23:00;972;402;190;41;207
07.12.2018 23:00;08.12.2018 00:00;908;294;171;48;169
08.12.2018 00:00;08.12.2018 01:00;727;214;130;35;139
08.12.2018 01:00;08.12.2018 02:00;470;159;134;24;99
08.12.2018 02:00;08.12.2018 03:00;340;115;124;5;67
08.12.2018 03:00;08.12.2018 04:00;265;95;79;10;57
08.12.2018 04:00;08.12.2018 05:00;163;55;36;4;25
08.12.2018 05:00;08.12.2018 06:00;162;81;23;2;19
08.12.2018 06:00;08.12.2018 07:00;301;148;46;8;81
08.12.2018 07:00;08.12.2018 08:00;556;325;93;23;171
08.12.2018 08:00;08.12.2018 09:00;776;449;133;33;347
08.12.2018 09:00;08.12.2018 10:00;1175;621;221;51;253
08.12.2018 10:00;08.12.2018 11:00;1741;868;274;76;399
08.12.2018 11:00;08.12.2018 12:00;2529;1164;361;118;546
08.12.2018 12:00;08.12.2018 13:00;2707;1251;443;160;635
08.12.2018 13:00;08.12.2018 14:00;2715;2016;473;168;644
08.12.2018 14:00;08.12.2018 15:00;2801;2060;524;178;635
08.12.2018 15:00;08.12.2018 16:00;2958;2139;525;176;636
08.12.2018 16:00;08.12.2018 17:00;2543;1843;439;182;534
08.12.2018 17:00;08.12.2018 18:00;2517;1757;467;138;524
08.12.2018 18:00;08.12.2018 19:00;2367;964;457;155;539
08.12.2018 19:00;08.12.2018 20:00;1615;724;281;92;345
08.12.2018 20:00;08.12.2018 21:00;1323;432;220;62;241
08.12.2018 21:00;08.12.2018 22:00;863;333;152;45;184
08.12.2018 22:00;08.12.2018 23:00;744;308;135;32;156
08.12.2018 23:00;09.12.2018 00:00;845;287;164;29;167
09.12.2018 00:00;09.12.2018 01:00;690;205;147;19;137
09.12.2018 01:00;09.12.2018 02:00;549;151;131;27;124
09.12.2018 02:00;09.12.2018 03:00;477;119;72;20;104
09.12.2018 03:00;09.12.2018 04:00;341;91;87;11;58
09.12.2018 04:00;09.12.2018 05:00;206;96;38;7;30
09.12.2018 05:00;09.12.2018 06:00;119;58;32;4;23
09.12.2018 06:00;09.12.2018 07:00;200;71;38;9;31
09.12.2018 07:00;09.12.2018 08:00;388;188;61;6;56
09.12.2018 08:00;09.12.2018 09:00;416;196;62;15;91
09.12.2018 09:00;09.12.2018 10:00;624;297;88;22;119
09.12.2018 10:00;09.12.2018 11:00;1117;439;167;46;256
09.12.2018 11:00;09.12.2018 12:00;1423;642;288;69;342
09.12.2018 12:00;09.12.2018 13:00;2037;908;323;87;446
09.12.2018 13:00;09.12.2018 14:00;2374;1185;437;93;544
09.12.2018 14:00;09.12.2018 15:00;2720;1342;484;110;675
09.12.2018 15:00;09.12.2018 16:00;3038;1386;519;133;673
09.12.2018 16:00;09.12.2018 17:00;3009;1322;505;173;602
09.12.2018 17:00;09.12.2018 18:00;2671;1159;429;133;570
09.12.2018 18:00;09.12.2018 19:00;2514;1140;417;132;525
09.12.2018 19:00;09.12.2018 20:00;2200;996;390;129;474
09.12.2018 20:00;09.12.2018 21:00;1592;690;260;107;377
09.12.2018 21:00;09.12.2018 22:00;1062;497;192;50;243
09.12.2018 22:00;09.12.2018 23:00;746;332;126;28;152
09.12.2018 23:00;10.12.2018 00:00;376;136;88;28;55
10.12.2018 00:00;10.12.2018 01:00;223;85;47;17;33
10.12.2018 01:00;10.12.2018 02:00;81;44;22;5;14
10.12.2018 02:00;10.12.2018 03:00;63;18;16;2;4
10.12.2018 03:00;10.12.2018 04:00;94;34;21;2;17
10.12.2018 04:00;10.12.2018 05:00;190;122;34;4;26
10.12.2018 05:00;10.12.2018 06:00;581;299;90;17;69
10.12.2018 06:00;10.12.2018 07:00;2809;1330;437;64;360
10.12.2018 07:00;10.12.2018 08:00;4450;2254;724;212;916
10.12.2018 08:00;10.12.2018 09:00;3623;1997;562;212;849
10.12.2018 09:00;10.12.2018 10:00;2424;1177;375;129;480
10.12.2018 10:00;10.12.2018 11:00;2396;1075;360;137;506
10.12.2018 11:00;10.12.2018 12:00;2572;1163;373;167;517
10.12.2018 12:00;10.12.2018 13:00;2708;1173;378;141;540
10.12.2018 13:00;10.12.2018 14:00;2809;1250;442;181;627
10.12.2018 14:00;10.12.2018 15:00;3406;1433;602;170;701
10.12.2018 15:00;10.12.2018 16:00;4969;2877;757;329;1104
10.12.2018 16:00;10.12.2018 17:00;4123;2093;601;258;862
10.12.2018 17:00;10.12.2018 18:00;2714;1314;471;153;625
10.12.2018 18:00;10.12.2018 19:00;2235;1055;413;156;580
10.12.2018 19:00;10.12.2018 20:00;2100;980;413;152;485
10.12.2018 20:00;10.12.2018 21:00;1797;749;371;117;423
10.12.2018 21:00;10.12.2018 22:00;1410;567;250;84;333
10.12.2018 22:00;10.12.2018 23:00;915;385;182;52;196
10.12.2018 23:00;11.12.2018 00:00;527;186;96;22;94
11.12.2018 00:00;11.12.2018 01:00;164;62;40;2;26
11.12.2018 01:00;11.12.2018 02:00;87;39;17;5;14
11.12.2018 02:00;11.12.2018 03:00;78;18;10;1;11
11.12.2018 03:00;11.12.2018 04:00;87;24;12;3;7
11.12.2018 04:00;11.12.2018 05:00;176;95;25;1;14
11.12.2018 05:00;11.12.2018 06:00;529;294;78;8;69
11.12.2018 06:00;11.12.2018 07:00;2721;1260;416;71;373
11.12.2018 07:00;11.12.2018 08:00;4519;2247;692;201;881
11.12.2018 08:00;11.12.2018 09:00;3510;1910;499;220;889
11.12.2018 09:00;11.12.2018 10:00;2468;1174;371;128;480
11.12.2018 10:00;11.12.2018 11:00;2547;1179;386;137;480
11.12.2018 11:00;11.12.2018 12:00;2709;1194;399;150;532
11.12.2018 12:00;11.12.2018 13:00;2747;1250;425;154;528
11.12.2018 13:00;11.12.2018 14:00;2866;1260;440;157;615
11.12.2018 14:00;11.12.2018 15:00;3361;1435;624;182;619
11.12.2018 15:00;11.12.2018 16:00;4797;2834;739;301;1014
11.12.2018 16:00;11.12.2018 17:00;4401;2062;623;250;882
11.12.2018 17:00;11.12.2018 18:00;2881;1293;501;140;637
11.12.2018 18:00;11.12.2018 19:00;2544;1118;469;149;609
11.12.2018 19:00;11.12.2018 20:00;2168;1000;408;112;520
11.12.2018 20:00;11.12.2018 21:00;1858;883;340;111;401
11.12.2018 21:00;11.12.2018 22:00;1441;611;295;77;303
11.12.2018 22:00;11.12.2018 23:00;990;428;232;50;236
11.12.2018 23:00;12.12.2018 00:00;590;235;103;33;153
12.12.2018 00:00;12.12.2018 01:00;223;74;42;9;42
12.12.2018 01:00;12.12.2018 02:00;107;46;19;4;22
12.12.2018 02:00;12.12.2018 03:00;76;23;27;1;14
12.12.2018 03:00;12.12.2018 04:00;92;30;19;3;10
12.12.2018 04:00;12.12.2018 05:00;155;80;21;2;15
12.12.2018 05:00;12.12.2018 06:00;499;282;89;12;62
12.12.2018 06:00;12.12.2018 07:00;2622;1289;427;64;323
12.12.2018 07:00;12.12.2018 08:00;4557;2262;680;204;843
12.12.2018 08:00;12.12.2018 09:00;3417;1958;529;206;844
12.12.2018 09:00;12.12.2018 10:00;2474;1256;413;132;494
12.12.2018 10:00;12.12.2018 11:00;2550;1197;378;127;512
12.12.2018 11:00;12.12.2018 12:00;2793;1315;402;175;518
12.12.2018 12:00;12.12.2018 13:00;2747;1272;451;154;530
12.12.2018 13:00;12.12.2018 14:00;3019;1366;465;148;540
12.12.2018 14:00;12.12.2018 15:00;3584;1557;620;179;672
12.12.2018 15:00;12.12.2018 16:00;4725;2825;782;305;1025
12.12.2018 16:00;12.12.2018 17:00;4554;2577;618;310;890
12.12.2018 17:00;12.12.2018 18:00;3059;1341;479;176;689
12.12.2018 18:00;12.12.2018 19:00;2540;1228;472;143;592
12.12.2018 19:00;12.12.2018 20:00;2487;1114;385;142;534
12.12.2018 20:00;12.12.2018 21:00;2018;934;385;128;484
12.12.2018 21:00;12.12.2018 22:00;1576;634;224;85;346
12.12.2018 22:00;12.12.2018 23:00;1080;446;208;55;259
12.12.2018 23:00;13.12.2018 00:00;592;223;110;40;152
13.12.2018 00:00;13.12.2018 01:00;244;93;48;11;48
13.12.2018 01:00;13.12.2018 02:00;124;44;25;5;32
13.12.2018 02:00;13.12.2018 03:00;97;22;15;3;20
13.12.2018 03:00;13.12.2018 04:00;85;29;22;5;19
13.12.2018 04:00;13.12.2018 05:00;157;87;28;0;23
13.12.2018 05:00;13.12.2018 06:00;515;292;89;10;60
13.12.2018 06:00;13.12.2018 07:00;2669;1327;411;61;349
13.12.2018 07:00;13.12.2018 08:00;4344;2202;683;205;867
13.12.2018 08:00;13.12.2018 09:00;3452;1950;562;209;845
13.12.2018 09:00;13.12.2018 10:00;2707;1346;454;135;519
13.12.2018 10:00;13.12.2018 11:00;2632;1237;368;123;501
13.12.2018 11:00;13.12.2018 12:00;2749;1337;408;145;560
13.12.2018 12:00;13.12.2018 13:00;2724;1300;447;150;530
13.12.2018 13:00;13.12.2018 14:00;3160;1441;500;149;599
13.12.2018 14:00;13.12.2018 15:00;3832;1738;726;207;779
13.12.2018 15:00;13.12.2018 16:00;4809;2981;774;300;968
13.12.2018 16:00;13.12.2018 17:00;4388;2315;625;273;880
13.12.2018 17:00;13.12.2018 18:00;3165;1448;517;179;661
13.12.2018 18:00;13.12.2018 19:00;2741;1298;475;142;593
13.12.2018 19:00;13.12.2018 20:00;2437;1094;452;175;516
13.12.2018 20:00;13.12.2018 21:00;2052;845;344;145;443
13.12.2018 21:00;13.12.2018 22:00;1648;694;300;93;362
13.12.2018 22:00;13.12.2018 23:00;1262;501;253;48;259
13.12.2018 23:00;14.12.2018 00:00;684;245;154;31;156
14.12.2018 00:00;14.12.2018 01:00;291;114;64;14;63
14.12.2018 01:00;14.12.2018 02:00;135;40;32;6;28
14.12.2018 02:00;14.12.2018 03:00;95;29;15;0;26
14.12.2018 03:00;14.12.2018 04:00;103;35;21;3;18
14.12.2018 04:00;14.12.2018 05:00;187;92;32;2;15
14.12.2018 05:00;14.12.2018 06:00;509;271;62;8;55
14.12.2018 06:00;14.12.2018 07:00;2407;1165;403;54;318
14.12.2018 07:00;14.12.2018 08:00;4179;2220;655;183;848
14.12.2018 08:00;14.12.2018 09:00;3378;1961;488;179;777
14.12.2018 09:00;14.12.2018 10:00;2602;1288;398;127;475
14.12.2018 10:00;14.12.2018 11:00;2769;1388;435;187;553
14.12.2018 11:00;14.12.2018 12:00;3043;1429;502;150;599
14.12.2018 12:00;14.12.2018 13:00;3148;1478;473;174;619
14.12.2018 13:00;14.12.2018 14:00;3508;1594;577;166;672
14.12.2018 14:00;14.12.2018 15:00;4121;1920;700;244;800
14.12.2018 15:00;14.12.2018 16:00;4899;2718;799;325;1039
14.12.2018 16:00;14.12.2018 17:00;4142;1931;630;260;946
14.12.2018 17:00;14.12.2018 18:00;2950;1348;527;172;607
14.12.2018 18:00;14.12.2018 19:00;2525;1145;458;150;533
14.12.2018 19:00;14.12.2018 20:00;2089;943;388;141;443
14.12.2018 20:00;14.12.2018 21:00;1753;646;276;104;343
14.12.2018 21:00;14.12.2018 22:00;1239;500;216;73;243
14.12.2018 22:00;14.12.2018 23:00;1078;426;225;47;227
14.12.2018 23:00;15.12.2018 00:00;918;321;153;39;180
15.12.2018 00:00;15.12.2018 01:00;747;231;134;31;151
15.12.2018 01:00;15.12.2018 02:00;509;185;104;20;88
15.12.2018 02:00;15.12.2018 03:00;371;102;86;7;67
15.12.2018 03:00;15.12.2018 04:00;284;94;49;10;57
15.12.2018 04:00;15.12.2018 05:00;163;57;33;6;19
15.12.2018 05:00;15.12.2018 06:00;172;82;29;7;16
15.12.2018 06:00;15.12.2018 07:00;273;140;48;11;47
15.12.2018 07:00;15.12.2018 08:00;569;309;99;23;169
15.12.2018 08:00;15.12.2018 09:00;750;501;142;30;343
15.12.2018 09:00;15.12.2018 10:00;1219;695;184;44;227
15.12.2018 10:00;15.12.2018 11:00;2047;1110;299;97;488
15.12.2018 11:00;15.12.2018 12:00;2536;1274;404;129;577
15.12.2018 12:00;15.12.2018 13:00;3049;1475;473;176;693
15.12.2018 13:00;15.12.2018 14:00;3104;1456;532;168;711
15.12.2018 14:00;15.12.2018 15:00;3257;1433;531;222;711
15.12.2018 15:00;15.12.2018 16:00;3240;1444;517;242;703
15.12.2018 16:00;15.12.2018 17:00;2856;1149;518;188;589
15.12.2018 17:00;15.12.2018 18:00;2903;1176;521;174;637
15.12.2018 18:00;15.12.2018 19:00;2372;1003;470;139;501
15.12.2018 19:00;15.12.2018 20:00;1740;739;331;98;364
15.12.2018 20:00;15.12.2018 21:00;1316;498;196;62;250
15.12.2018 21:00;15.12.2018 22:00;948;403;180;39;196
15.12.2018 22:00;15.12.2018 23:00;835;322;151;34;166
15.12.2018 23:00;16.12.2018 00:00;842;282;166;38;148
16.12.2018 00:00;16.12.2018 01:00;682;198;132;36;157
16.12.2018 01:00;16.12.2018 02:00;585;181;112;28;128
16.12.2018 02:00;16.12.2018 03:00;489;116;124;13;89
16.12.2018 03:00;16.12.2018 04:00;423;80;70;7;62
16.12.2018 04:00;16.12.2018 05:00;222;68;39;11;35
16.12.2018 05:00;16.12.2018 06:00;115;55;24;6;2
16.12.2018 06:00;16.12.2018 07:00;220;74;45;5;0
16.12.2018 07:00;16.12.2018 08:00;410;194;76;16;0
16.12.2018 08:00;16.12.2018 09:00;427;175;66;12;13
16.12.2018 09:00;16.12.2018 10:00;590;304;87;14;133
16.12.2018 10:00;16.12.2018 11:00;1095;534;196;50;306
16.12.2018 11:00;16.12.2018 12:00;1652;767;305;66;440
16.12.2018 12:00;16.12.2018 13:00;2124;970;411;84;573
16.12.2018 13:00;16.12.2018 14:00;2658;1418;510;115;691
16.12.2018 14:00;16.12.2018 15:00;3322;1558;598;171;761
16.12.2018 15:00;16.12.2018 16:00;3322;1595;556;212;722
16.12.2018 16:00;16.12.2018 17:00;3026;1337;473;196;671
16.12.2018 17:00;16.12.2018 18:00;2729;1212;436;156;529
16.12.2018 18:00;16.12.2018 19:00;2595;1190;430;144;544
16.12.2018 19:00;16.12.2018 20:00;2352;1108;398;159;511
16.12.2018 20:00;16.12.2018 21:00;1703;750;316;116;416
16.12.2018 21:00;16.12.2018 22:00;1257;617;220;75;316
16.12.2018 22:00;16.12.2018 23:00;857;411;160;58;171
16.12.2018 23:00;17.12.2018 00:00;417;185;99;25;97
17.12.2018 00:00;17.12.2018 01:00;220;80;41;8;42
17.12.2018 01:00;17.12.2018 02:00;103;37;20;5;18
17.12.2018 02:00;17.12.2018 03:00;75;27;18;2;8
17.12.2018 03:00;17.12.2018 04:00;109;47;32;3;15
17.12.2018 04:00;17.12.2018 05:00;162;98;42;2;13
17.12.2018 05:00;17.12.2018 06:00;596;322;89;12;62
17.12.2018 06:00;17.12.2018 07:00;2688;1326;427;68;372
17.12.2018 07:00;17.12.2018 08:00;4498;2307;693;194;885
17.12.2018 08:00;17.12.2018 09:00;3609;1972;548;201;852
17.12.2018 09:00;17.12.2018 10:00;2521;1252;358;140;467
17.12.2018 10:00;17.12.2018 11:00;2705;1315;367;159;506
17.12.2018 11:00;17.12.2018 12:00;2913;1332;462;165;512
17.12.2018 12:00;17.12.2018 13:00;2965;1340;448;185;596
17.12.2018 13:00;17.12.2018 14:00;3199;1424;516;166;669
17.12.2018 14:00;17.12.2018 15:00;3788;1632;593;202;707
17.12.2018 15:00;17.12.2018 16:00;4943;2943;806;272;1038
17.12.2018 16:00;17.12.2018 17:00;4400;2360;602;269;864
17.12.2018 17:00;17.12.2018 18:00;2968;1476;537;174;684
17.12.2018 18:00;17.12.2018 19:00;2523;1220;446;150;539
17.12.2018 19:00;17.12.2018 20:00;2326;1025;419;167;541
17.12.2018 20:00;17.12.2018 21:00;1986;892;374;124;408
17.12.2018 21:00;17.12.2018 22:00;1595;691;275;106;387
17.12.2018 22:00;17.12.2018 23:00;1136;493;231;49;256
17.12.2018 23:00;18.12.2018 00:00;534;186;129;34;111
18.12.2018 00:00;18.12.2018 01:00;203;58;45;8;36
18.12.2018 01:00;18.12.2018 02:00;129;49;30;8;15
18.12.2018 02:00;18.12.2018 03:00;92;17;22;0;13
18.12.2018 03:00;18.12.2018 04:00;103;28;17;1;10
18.12.2018 04:00;18.12.2018 05:00;147;94;28;2;24
18.12.2018 05:00;18.12.2018 06:00;525;283;101;9;63
18.12.2018 06:00;18.12.2018 07:00;2658;1319;433;56;323
18.12.2018 07:00;18.12.2018 08:00;4447;2254;619;192;874
18.12.2018 08:00;18.12.2018 09:00;3479;1926;478;177;837
18.12.2018 09:00;18.12.2018 10:00;2561;1262;391;128;500
