date_from;date_to;month;AMS_kWh;Synthetic_3_6kW;Synthetic_7_2kW;Simultaneous_if_3_6kW
06.01.2019 01:00;06.01.2019 02:00;Jan;0;0;0;NA
06.01.2019 02:00;06.01.2019 03:00;Jan;0,05;0;0;NA
06.01.2019 03:00;06.01.2019 04:00;Jan;0;0;0;NA
06.01.2019 04:00;06.01.2019 05:00;Jan;0,05;0;0;NA
06.01.2019 05:00;06.01.2019 06:00;Jan;0;0;0;NA
06.01.2019 06:00;06.01.2019 07:00;Jan;0,05;0;0;NA
06.01.2019 07:00;06.01.2019 08:00;Jan;0;0;0;NA
06.01.2019 08:00;06.01.2019 09:00;Jan;0;0;0;NA
06.01.2019 09:00;06.01.2019 10:00;Jan;0,05;0;0;NA
06.01.2019 10:00;06.01.2019 11:00;Jan;0;0;0;NA
06.01.2019 11:00;06.01.2019 12:00;Jan;0,05;0;0;NA
06.01.2019 12:00;06.01.2019 13:00;Jan;0;0;0;NA
06.01.2019 13:00;06.01.2019 14:00;Jan;0,05;0;0;NA
06.01.2019 14:00;06.01.2019 15:00;Jan;0;0;0;NA
06.01.2019 15:00;06.01.2019 16:00;Jan;0,05;0;0;NA
06.01.2019 16:00;06.01.2019 17:00;Jan;0;0;0;NA
06.01.2019 17:00;06.01.2019 18:00;Jan;0;0;0;NA
06.01.2019 18:00;06.01.2019 19:00;Jan;0,05;NA;NA;NA
06.01.2019 19:00;06.01.2019 20:00;Jan;0;NA;NA;NA
06.01.2019 20:00;06.01.2019 21:00;Jan;0,05;NA;NA;NA
06.01.2019 21:00;06.01.2019 22:00;Jan;0;NA;NA;NA
06.01.2019 22:00;06.01.2019 23:00;Jan;0,05;NA;NA;NA
06.01.2019 23:00;07.01.2019 00:00;Jan;0;NA;NA;NA
07.01.2019 00:00;07.01.2019 01:00;Jan;0,05;NA;NA;NA
07.01.2019 01:00;07.01.2019 02:00;Jan;0;NA;NA;NA
07.01.2019 02:00;07.01.2019 03:00;Jan;0;NA;NA;NA
07.01.2019 03:00;07.01.2019 04:00;Jan;0,05;NA;NA;NA
07.01.2019 04:00;07.01.2019 05:00;Jan;0;NA;NA;NA
07.01.2019 05:00;07.01.2019 06:00;Jan;0,05;NA;NA;NA
07.01.2019 06:00;07.01.2019 07:00;Jan;0;NA;NA;NA
07.01.2019 07:00;07.01.2019 08:00;Jan;0,05;NA;NA;NA
07.01.2019 08:00;07.01.2019 09:00;Jan;0;NA;NA;NA
07.01.2019 09:00;07.01.2019 10:00;Jan;0,05;NA;NA;NA
07.01.2019 10:00;07.01.2019 11:00;Jan;0;NA;NA;NA
07.01.2019 11:00;07.01.2019 12:00;Jan;0;NA;NA;NA
07.01.2019 12:00;07.01.2019 13:00;Jan;0,05;NA;NA;NA
07.01.2019 13:00;07.01.2019 14:00;Jan;0;NA;NA;NA
07.01.2019 14:00;07.01.2019 15:00;Jan;0,05;NA;NA;NA
07.01.2019 15:00;07.01.2019 16:00;Jan;0;NA;NA;NA
07.01.2019 16:00;07.01.2019 17:00;Jan;0,05;NA;NA;NA
07.01.2019 17:00;07.01.2019 18:00;Jan;0;NA;NA;NA
07.01.2019 18:00;07.01.2019 19:00;Jan;0,05;NA;NA;NA
07.01.2019 19:00;07.01.2019 20:00;Jan;0;NA;NA;NA
07.01.2019 20:00;07.01.2019 21:00;Jan;0,05;NA;NA;NA
07.01.2019 21:00;07.01.2019 22:00;Jan;0;NA;NA;NA
07.01.2019 22:00;07.01.2019 23:00;Jan;0;NA;NA;NA
07.01.2019 23:00;08.01.2019 00:00;Jan;0,05;NA;NA;NA
08.01.2019 00:00;08.01.2019 01:00;Jan;0;NA;NA;NA
08.01.2019 01:00;08.01.2019 02:00;Jan;0,05;NA;NA;NA
08.01.2019 02:00;08.01.2019 03:00;Jan;0;NA;NA;NA
08.01.2019 03:00;08.01.2019 04:00;Jan;0,05;NA;NA;NA
08.01.2019 04:00;08.01.2019 05:00;Jan;0;NA;NA;NA
08.01.2019 05:00;08.01.2019 06:00;Jan;0,05;NA;NA;NA
08.01.2019 06:00;08.01.2019 07:00;Jan;0;NA;NA;NA
08.01.2019 07:00;08.01.2019 08:00;Jan;0;NA;NA;NA
08.01.2019 08:00;08.01.2019 09:00;Jan;0,05;NA;NA;NA
08.01.2019 09:00;08.01.2019 10:00;Jan;0;NA;NA;NA
08.01.2019 10:00;08.01.2019 11:00;Jan;0,05;NA;NA;NA
08.01.2019 11:00;08.01.2019 12:00;Jan;0;NA;NA;NA
08.01.2019 12:00;08.01.2019 13:00;Jan;0,05;NA;NA;NA
08.01.2019 13:00;08.01.2019 14:00;Jan;0;NA;NA;NA
08.01.2019 14:00;08.01.2019 15:00;Jan;0,05;NA;NA;NA
08.01.2019 15:00;08.01.2019 16:00;Jan;0,05;NA;NA;NA
08.01.2019 16:00;08.01.2019 17:00;Jan;0;NA;NA;NA
08.01.2019 17:00;08.01.2019 18:00;Jan;0,05;NA;NA;NA
08.01.2019 18:00;08.01.2019 19:00;Jan;0;NA;NA;NA
08.01.2019 19:00;08.01.2019 20:00;Jan;0,05;NA;NA;NA
08.01.2019 20:00;08.01.2019 21:00;Jan;0,05;NA;NA;NA
08.01.2019 21:00;08.01.2019 22:00;Jan;3,95;NA;NA;NA
08.01.2019 22:00;08.01.2019 23:00;Jan;4,9;NA;NA;NA
08.01.2019 23:00;09.01.2019 00:00;Jan;4,85;NA;NA;NA
09.01.2019 00:00;09.01.2019 01:00;Jan;4,25;NA;NA;NA
09.01.2019 01:00;09.01.2019 02:00;Jan;4,85;NA;NA;NA
09.01.2019 02:00;09.01.2019 03:00;Jan;1,5;NA;NA;NA
09.01.2019 03:00;09.01.2019 04:00;Jan;0,05;NA;NA;NA
09.01.2019 04:00;09.01.2019 05:00;Jan;0;NA;NA;NA
09.01.2019 05:00;09.01.2019 06:00;Jan;0,05;NA;NA;NA
09.01.2019 06:00;09.01.2019 07:00;Jan;0,05;NA;NA;NA
09.01.2019 07:00;09.01.2019 08:00;Jan;0;NA;NA;NA
09.01.2019 08:00;09.01.2019 09:00;Jan;0,05;NA;NA;NA
09.01.2019 09:00;09.01.2019 10:00;Jan;0;NA;NA;NA
09.01.2019 10:00;09.01.2019 11:00;Jan;0,05;NA;NA;NA
09.01.2019 11:00;09.01.2019 12:00;Jan;0,05;NA;NA;NA
09.01.2019 12:00;09.01.2019 13:00;Jan;0;NA;NA;NA
09.01.2019 13:00;09.01.2019 14:00;Jan;0,05;NA;NA;NA
09.01.2019 14:00;09.01.2019 15:00;Jan;0,05;NA;NA;NA
09.01.2019 15:00;09.01.2019 16:00;Jan;0;NA;NA;NA
09.01.2019 16:00;09.01.2019 17:00;Jan;1,55;0,84;1,68;1
09.01.2019 17:00;09.01.2019 18:00;Jan;6,9;3,6;7,2;1
09.01.2019 18:00;09.01.2019 19:00;Jan;6,75;3,6;7,2;1
09.01.2019 19:00;09.01.2019 20:00;Jan;3,85;3,6;2,62;1
09.01.2019 20:00;09.01.2019 21:00;Jan;0,05;3,6;0;1
09.01.2019 21:00;09.01.2019 22:00;Jan;0;3,46;0;1
09.01.2019 22:00;09.01.2019 23:00;Jan;1,5;1,5;1,85;1
09.01.2019 23:00;10.01.2019 00:00;Jan;0,45;0,35;0;1
10.01.2019 00:00;10.01.2019 01:00;Jan;0;0;0;NA
10.01.2019 01:00;10.01.2019 02:00;Jan;0,05;0;0;NA
10.01.2019 02:00;10.01.2019 03:00;Jan;0,05;0;0;NA
10.01.2019 03:00;10.01.2019 04:00;Jan;0;0;0;NA
10.01.2019 04:00;10.01.2019 05:00;Jan;0,05;0;0;NA
10.01.2019 05:00;10.01.2019 06:00;Jan;0,05;0;0;NA
10.01.2019 06:00;10.01.2019 07:00;Jan;0;0;0;NA
10.01.2019 07:00;10.01.2019 08:00;Jan;0,05;0;0;NA
10.01.2019 08:00;10.01.2019 09:00;Jan;0,05;0;0;NA
10.01.2019 09:00;10.01.2019 10:00;Jan;0;0;0;NA
10.01.2019 10:00;10.01.2019 11:00;Jan;0,05;0;0;NA
10.01.2019 11:00;10.01.2019 12:00;Jan;0;NA;NA;NA
10.01.2019 12:00;10.01.2019 13:00;Jan;0,05;NA;NA;NA
10.01.2019 13:00;10.01.2019 14:00;Jan;0,05;NA;NA;NA
10.01.2019 14:00;10.01.2019 15:00;Jan;0;NA;NA;NA
10.01.2019 15:00;10.01.2019 16:00;Jan;0,05;NA;NA;NA
10.01.2019 16:00;10.01.2019 17:00;Jan;0,05;NA;NA;NA
10.01.2019 17:00;10.01.2019 18:00;Jan;0;NA;NA;NA
10.01.2019 18:00;10.01.2019 19:00;Jan;0,05;NA;NA;NA
10.01.2019 19:00;10.01.2019 20:00;Jan;0,05;NA;NA;NA
10.01.2019 20:00;10.01.2019 21:00;Jan;0;NA;NA;NA
10.01.2019 21:00;10.01.2019 22:00;Jan;0,05;NA;NA;NA
10.01.2019 22:00;10.01.2019 23:00;Jan;0;NA;NA;NA
10.01.2019 23:00;11.01.2019 00:00;Jan;0,05;NA;NA;NA
11.01.2019 00:00;11.01.2019 01:00;Jan;0,05;NA;NA;NA
11.01.2019 01:00;11.01.2019 02:00;Jan;0;NA;NA;NA
11.01.2019 02:00;11.01.2019 03:00;Jan;0,05;NA;NA;NA
11.01.2019 03:00;11.01.2019 04:00;Jan;0,05;NA;NA;NA
11.01.2019 04:00;11.01.2019 05:00;Jan;0;NA;NA;NA
11.01.2019 05:00;11.01.2019 06:00;Jan;0,05;NA;NA;NA
11.01.2019 06:00;11.01.2019 07:00;Jan;0;NA;NA;NA
11.01.2019 07:00;11.01.2019 08:00;Jan;0,05;NA;NA;NA
11.01.2019 08:00;11.01.2019 09:00;Jan;0,05;NA;NA;NA
11.01.2019 09:00;11.01.2019 10:00;Jan;0;NA;NA;NA
11.01.2019 10:00;11.01.2019 11:00;Jan;0,05;NA;NA;NA
11.01.2019 11:00;11.01.2019 12:00;Jan;0,05;NA;NA;NA
11.01.2019 12:00;11.01.2019 13:00;Jan;0;NA;NA;NA
11.01.2019 13:00;11.01.2019 14:00;Jan;0,05;NA;NA;NA
11.01.2019 14:00;11.01.2019 15:00;Jan;0,05;NA;NA;NA
11.01.2019 15:00;11.01.2019 16:00;Jan;0;NA;NA;NA
11.01.2019 16:00;11.01.2019 17:00;Jan;0,05;NA;NA;NA
11.01.2019 17:00;11.01.2019 18:00;Jan;0,05;NA;NA;NA
11.01.2019 18:00;11.01.2019 19:00;Jan;0,35;0,36;0,72;1
11.01.2019 19:00;11.01.2019 20:00;Jan;6,15;3,6;7,2;1
11.01.2019 20:00;11.01.2019 21:00;Jan;6,2;3,6;7,2;1
11.01.2019 21:00;11.01.2019 22:00;Jan;4,1;3,6;1,67;1
11.01.2019 22:00;11.01.2019 23:00;Jan;0,05;3,6;0;1
11.01.2019 23:00;12.01.2019 00:00;Jan;0,05;2,03;0;1
12.01.2019 00:00;12.01.2019 01:00;Jan;0;0;0;NA
12.01.2019 01:00;12.01.2019 02:00;Jan;0,05;0;0;NA
12.01.2019 02:00;12.01.2019 03:00;Jan;0,05;0;0;NA
12.01.2019 03:00;12.01.2019 04:00;Jan;0;0;0;NA
12.01.2019 04:00;12.01.2019 05:00;Jan;0,05;0;0;NA
12.01.2019 05:00;12.01.2019 06:00;Jan;0;0;0;NA
12.01.2019 06:00;12.01.2019 07:00;Jan;0,05;0;0;NA
12.01.2019 07:00;12.01.2019 08:00;Jan;0,05;0;0;NA
12.01.2019 08:00;12.01.2019 09:00;Jan;0;0;0;NA
12.01.2019 09:00;12.01.2019 10:00;Jan;0,05;0;0;NA
12.01.2019 10:00;12.01.2019 11:00;Jan;0,05;NA;NA;NA
12.01.2019 11:00;12.01.2019 12:00;Jan;0;NA;NA;NA
12.01.2019 12:00;12.01.2019 13:00;Jan;0,05;NA;NA;NA
12.01.2019 13:00;12.01.2019 14:00;Jan;0,05;NA;NA;NA
12.01.2019 14:00;12.01.2019 15:00;Jan;0;NA;NA;NA
12.01.2019 15:00;12.01.2019 16:00;Jan;0,05;NA;NA;NA
12.01.2019 16:00;12.01.2019 17:00;Jan;0;NA;NA;NA
12.01.2019 17:00;12.01.2019 18:00;Jan;0,05;NA;NA;NA
12.01.2019 18:00;12.01.2019 19:00;Jan;0,05;NA;NA;NA
12.01.2019 19:00;12.01.2019 20:00;Jan;0;NA;NA;NA
12.01.2019 20:00;12.01.2019 21:00;Jan;0,05;NA;NA;NA
12.01.2019 21:00;12.01.2019 22:00;Jan;0,05;NA;NA;NA
12.01.2019 22:00;12.01.2019 23:00;Jan;0;NA;NA;NA
12.01.2019 23:00;13.01.2019 00:00;Jan;0,05;NA;NA;NA
13.01.2019 00:00;13.01.2019 01:00;Jan;0,05;NA;NA;NA
13.01.2019 01:00;13.01.2019 02:00;Jan;0;NA;NA;NA
13.01.2019 02:00;13.01.2019 03:00;Jan;0,05;NA;NA;NA
13.01.2019 03:00;13.01.2019 04:00;Jan;0;NA;NA;NA
13.01.2019 04:00;13.01.2019 05:00;Jan;0,05;NA;NA;NA
13.01.2019 05:00;13.01.2019 06:00;Jan;0,05;NA;NA;NA
13.01.2019 06:00;13.01.2019 07:00;Jan;0;NA;NA;NA
13.01.2019 07:00;13.01.2019 08:00;Jan;0,05;NA;NA;NA
13.01.2019 08:00;13.01.2019 09:00;Jan;0,05;NA;NA;NA
13.01.2019 09:00;13.01.2019 10:00;Jan;0;NA;NA;NA
13.01.2019 10:00;13.01.2019 11:00;Jan;0,05;NA;NA;NA
13.01.2019 11:00;13.01.2019 12:00;Jan;0,05;NA;NA;NA
13.01.2019 12:00;13.01.2019 13:00;Jan;0;NA;NA;NA
13.01.2019 13:00;13.01.2019 14:00;Jan;0,05;NA;NA;NA
13.01.2019 14:00;13.01.2019 15:00;Jan;0;NA;NA;NA
13.01.2019 15:00;13.01.2019 16:00;Jan;6,05;3,54;7,08;1
13.01.2019 16:00;13.01.2019 17:00;Jan;6,15;3,6;7,2;1
13.01.2019 17:00;13.01.2019 18:00;Jan;6,1;3,6;4,2;1
13.01.2019 18:00;13.01.2019 19:00;Jan;0,25;3,6;0;1
13.01.2019 19:00;13.01.2019 20:00;Jan;0,05;3,6;0;1
13.01.2019 20:00;13.01.2019 21:00;Jan;0;0,54;0;1
13.01.2019 21:00;13.01.2019 22:00;Jan;0,05;NA;NA;NA
13.01.2019 22:00;13.01.2019 23:00;Jan;0,05;NA;NA;NA
13.01.2019 23:00;14.01.2019 00:00;Jan;0;NA;NA;NA
14.01.2019 00:00;14.01.2019 01:00;Jan;0,05;NA;NA;NA
14.01.2019 01:00;14.01.2019 02:00;Jan;0,05;NA;NA;NA
14.01.2019 02:00;14.01.2019 03:00;Jan;0;NA;NA;NA
14.01.2019 03:00;14.01.2019 04:00;Jan;0,05;NA;NA;NA
14.01.2019 04:00;14.01.2019 05:00;Jan;0;NA;NA;NA
14.01.2019 05:00;14.01.2019 06:00;Jan;0,05;NA;NA;NA
14.01.2019 06:00;14.01.2019 07:00;Jan;0,05;NA;NA;NA
14.01.2019 07:00;14.01.2019 08:00;Jan;0;NA;NA;NA
14.01.2019 08:00;14.01.2019 09:00;Jan;0,05;NA;NA;NA
14.01.2019 09:00;14.01.2019 10:00;Jan;0,05;NA;NA;NA
14.01.2019 10:00;14.01.2019 11:00;Jan;0;NA;NA;NA
14.01.2019 11:00;14.01.2019 12:00;Jan;0,05;NA;NA;NA
14.01.2019 12:00;14.01.2019 13:00;Jan;0,05;NA;NA;NA
14.01.2019 13:00;14.01.2019 14:00;Jan;0;NA;NA;NA
14.01.2019 14:00;14.01.2019 15:00;Jan;0,05;NA;NA;NA
14.01.2019 15:00;14.01.2019 16:00;Jan;0,05;NA;NA;NA
14.01.2019 16:00;14.01.2019 17:00;Jan;0;NA;NA;NA
14.01.2019 17:00;14.01.2019 18:00;Jan;0,05;NA;NA;NA
14.01.2019 18:00;14.01.2019 19:00;Jan;0,7;0,42;0,84;1
14.01.2019 19:00;14.01.2019 20:00;Jan;6,95;3,6;7,2;1
14.01.2019 20:00;14.01.2019 21:00;Jan;6,8;3,6;6,17;1
14.01.2019 21:00;14.01.2019 22:00;Jan;0,05;3,6;0;1
14.01.2019 22:00;14.01.2019 23:00;Jan;0,05;2,99;0;1
14.01.2019 23:00;15.01.2019 00:00;Jan;0;0;0;NA
15.01.2019 00:00;15.01.2019 01:00;Jan;0,05;0;0;NA
15.01.2019 01:00;15.01.2019 02:00;Jan;0,05;0;0;NA
15.01.2019 02:00;15.01.2019 03:00;Jan;0;0;0;NA
15.01.2019 03:00;15.01.2019 04:00;Jan;0,05;0;0;NA
15.01.2019 04:00;15.01.2019 05:00;Jan;0,05;0;0;NA
15.01.2019 05:00;15.01.2019 06:00;Jan;0;0;0;NA
15.01.2019 06:00;15.01.2019 07:00;Jan;0,05;0;0;NA
15.01.2019 07:00;15.01.2019 08:00;Jan;0,05;0;0;NA
15.01.2019 08:00;15.01.2019 09:00;Jan;0;0;0;NA
15.01.2019 09:00;15.01.2019 10:00;Jan;0,05;0;0;NA
15.01.2019 10:00;15.01.2019 11:00;Jan;0,05;0;0;NA
15.01.2019 11:00;15.01.2019 12:00;Jan;0;NA;NA;NA
15.01.2019 12:00;15.01.2019 13:00;Jan;0,05;NA;NA;NA
15.01.2019 13:00;15.01.2019 14:00;Jan;0,05;NA;NA;NA
15.01.2019 14:00;15.01.2019 15:00;Jan;0;NA;NA;NA
15.01.2019 15:00;15.01.2019 16:00;Jan;0,05;NA;NA;NA
15.01.2019 16:00;15.01.2019 17:00;Jan;0,05;NA;NA;NA
15.01.2019 17:00;15.01.2019 18:00;Jan;0;NA;NA;NA
15.01.2019 18:00;15.01.2019 19:00;Jan;0,05;NA;NA;NA
15.01.2019 19:00;15.01.2019 20:00;Jan;0;NA;NA;NA
15.01.2019 20:00;15.01.2019 21:00;Jan;0,05;NA;NA;NA
15.01.2019 21:00;15.01.2019 22:00;Jan;0,05;NA;NA;NA
15.01.2019 22:00;15.01.2019 23:00;Jan;1,05;1,14;2,28;1
15.01.2019 23:00;16.01.2019 00:00;Jan;5,9;5,28;10,56;2
16.01.2019 00:00;16.01.2019 01:00;Jan;8,5;7,2;12,33;2
16.01.2019 01:00;16.01.2019 02:00;Jan;8,25;7,2;7,2;2
16.01.2019 02:00;16.01.2019 03:00;Jan;6,6;6,27;4,55;2
16.01.2019 03:00;16.01.2019 04:00;Jan;5,8;3,6;0;1
16.01.2019 04:00;16.01.2019 05:00;Jan;1,15;3,6;0;1
16.01.2019 05:00;16.01.2019 06:00;Jan;0,05;2,63;0;1
16.01.2019 06:00;16.01.2019 07:00;Jan;0,05;0;0;NA
16.01.2019 07:00;16.01.2019 08:00;Jan;0;0;0;NA
16.01.2019 08:00;16.01.2019 09:00;Jan;0,05;0;0;NA
16.01.2019 09:00;16.01.2019 10:00;Jan;0,05;0;0;NA
16.01.2019 10:00;16.01.2019 11:00;Jan;0;0;0;NA
16.01.2019 11:00;16.01.2019 12:00;Jan;0,05;0;0;NA
16.01.2019 12:00;16.01.2019 13:00;Jan;0,05;NA;NA;NA
16.01.2019 13:00;16.01.2019 14:00;Jan;0;NA;NA;NA
16.01.2019 14:00;16.01.2019 15:00;Jan;0,05;NA;NA;NA
16.01.2019 15:00;16.01.2019 16:00;Jan;0,05;NA;NA;NA
16.01.2019 16:00;16.01.2019 17:00;Jan;0;NA;NA;NA
16.01.2019 17:00;16.01.2019 18:00;Jan;0,05;NA;NA;NA
16.01.2019 18:00;16.01.2019 19:00;Jan;0,05;NA;NA;NA
16.01.2019 19:00;16.01.2019 20:00;Jan;0;NA;NA;NA
16.01.2019 20:00;16.01.2019 21:00;Jan;0,05;NA;NA;NA
16.01.2019 21:00;16.01.2019 22:00;Jan;0,05;NA;NA;NA
16.01.2019 22:00;16.01.2019 23:00;Jan;0;NA;NA;NA
16.01.2019 23:00;17.01.2019 00:00;Jan;0,05;NA;NA;NA
17.01.2019 00:00;17.01.2019 01:00;Jan;0,05;NA;NA;NA
17.01.2019 01:00;17.01.2019 02:00;Jan;0;NA;NA;NA
17.01.2019 02:00;17.01.2019 03:00;Jan;0,05;NA;NA;NA
17.01.2019 03:00;17.01.2019 04:00;Jan;0,05;NA;NA;NA
17.01.2019 04:00;17.01.2019 05:00;Jan;0;NA;NA;NA
17.01.2019 05:00;17.01.2019 06:00;Jan;0,05;NA;NA;NA
17.01.2019 06:00;17.01.2019 07:00;Jan;0,05;NA;NA;NA
17.01.2019 07:00;17.01.2019 08:00;Jan;0;NA;NA;NA
17.01.2019 08:00;17.01.2019 09:00;Jan;0,05;NA;NA;NA
17.01.2019 09:00;17.01.2019 10:00;Jan;0,05;NA;NA;NA
17.01.2019 10:00;17.01.2019 11:00;Jan;0;NA;NA;NA
17.01.2019 11:00;17.01.2019 12:00;Jan;0,05;NA;NA;NA
17.01.2019 12:00;17.01.2019 13:00;Jan;0,05;NA;NA;NA
17.01.2019 13:00;17.01.2019 14:00;Jan;0;NA;NA;NA
17.01.2019 14:00;17.01.2019 15:00;Jan;0,05;NA;NA;NA
17.01.2019 15:00;17.01.2019 16:00;Jan;0,05;NA;NA;NA
17.01.2019 16:00;17.01.2019 17:00;Jan;0;NA;NA;NA
17.01.2019 17:00;17.01.2019 18:00;Jan;0,05;NA;NA;NA
17.01.2019 18:00;17.01.2019 19:00;Jan;0,05;NA;NA;NA
17.01.2019 19:00;17.01.2019 20:00;Jan;0;NA;NA;NA
17.01.2019 20:00;17.01.2019 21:00;Jan;0,05;NA;NA;NA
17.01.2019 21:00;17.01.2019 22:00;Jan;0;NA;NA;NA
17.01.2019 22:00;17.01.2019 23:00;Jan;4,5;2,64;5,28;1
17.01.2019 23:00;18.01.2019 00:00;Jan;6,25;3,6;7,2;1
