session_ID;Garage_ID;User_ID;User_type;Shared_ID;Start_plugin;Start_plugin_hour;End_plugout;End_plugout_hour;El_kWh;Duration_hours;month_plugin;weekdays_plugin;Plugin_category;Duration_category
15;Bl2;Bl2-4;Private;NA;02.01.2019 19:59;19;03.01.2019 00:52;0;14,64;4,879722222;Jan;Wednesday;early evening (18-21);Between 3 and 6 hours
16;AdO3;AdO3-2;Private;NA;04.01.2019 15:44;15;05.01.2019 08:06;8;2;16,37472222;Jan;Friday;late afternoon (15-18);Between 15 and 18 hours
17;AdO3;AdO3-4;Private;NA;05.01.2019 17:10;17;06.01.2019 16:24;16;29,34;23,24166667;Jan;Saturday;late afternoon (15-18);More than 18 hours
18;Bl2;Bl2-4;Private;NA;05.01.2019 18:04;18;06.01.2019 17:39;17;14,77;23,58583333;Jan;Saturday;early evening (18-21);More than 18 hours
19;AdO1;AdO1-2;Private;NA;05.01.2019 20:06;20;06.01.2019 13:23;13;10,46;17,28666667;Jan;Saturday;early evening (18-21);Between 15 and 18 hours
20;AdO1;AdO1-2;Private;NA;06.01.2019 18:02;18;06.01.2019 21:31;21;3,92;3,479722222;Jan;Sunday;early evening (18-21);Between 3 and 6 hours
21;AdO1;AdO1-2;Private;NA;07.01.2019 20:02;20;07.01.2019 20:05;20;0,08;0,036944444;Jan;Monday;early evening (18-21);Less than 3 hours
22;AdO1;AdO1-2;Private;NA;07.01.2019 20:05;20;08.01.2019 10:05;10;6,14;14;Jan;Monday;early evening (18-21);Between 12 and 15 hours
23;AdO1;AdO1-2;Private;NA;08.01.2019 19:28;19;09.01.2019 12:01;12;5,34;16,55194444;Jan;Tuesday;early evening (18-21);Between 15 and 18 hours
24;Bl2;Bl2-4;Private;NA;09.01.2019 16:46;16;10.01.2019 10:20;10;18,7;17,57194444;Jan;Wednesday;late afternoon (15-18);Between 15 and 18 hours
25;AdO1;AdO1-2;Private;NA;09.01.2019 20:59;20;10.01.2019 15:19;15;10,38;18,33777778;Jan;Wednesday;early evening (18-21);More than 18 hours
26;Bl2;Bl2-2;Shared;Shared-7;09.01.2019 22:35;22;09.01.2019 23:10;23;1,85;0,585;Jan;Wednesday;late evening (21-midnight);Less than 3 hours
27;AdO3;AdO3-4;Private;NA;09.01.2019 23:53;23;09.01.2019 23:56;23;0,34;0,056666667;Jan;Wednesday;late evening (21-midnight);Less than 3 hours
28;UT9;Share-12;Shared;Shared-12;10.01.2019 16:30;16;10.01.2019 17:20;17;5,1;0,831944444;Jan;Thursday;late afternoon (15-18);Less than 3 hours
29;AdO1;AdO1-2;Private;NA;10.01.2019 23:32;23;11.01.2019 18:10;18;8,35;18,63138889;Jan;Thursday;late evening (21-midnight);More than 18 hours
30;UT9;Share-12;Shared;Shared-12;11.01.2019 15:12;15;11.01.2019 17:07;17;11,7;1,917777778;Jan;Friday;late afternoon (15-18);Less than 3 hours
31;AsO2;Share-4;Shared;Shared-5;11.01.2019 17:13;17;11.01.2019 21:43;21;7,28;4,500833333;Jan;Friday;late afternoon (15-18);Between 3 and 6 hours
32;Bl2;Share-8;Shared;Shared-6;11.01.2019 18:54;18;12.01.2019 09:47;9;16,79;14,88722222;Jan;Friday;early evening (18-21);Between 12 and 15 hours
33;UT9;Share-12;Shared;Shared-12;11.01.2019 20:34;20;11.01.2019 22:56;22;14,63;2,374166667;Jan;Friday;early evening (18-21);Less than 3 hours
34;AsO2;Share-4;Shared;Shared-5;12.01.2019 12:23;12;12.01.2019 13:58;13;5,51;1,576388889;Jan;Saturday;early afternoon (12-15);Less than 3 hours
35;UT9;Share-12;Shared;Shared-12;12.01.2019 13:36;13;12.01.2019 15:32;15;11,99;1,938611111;Jan;Saturday;early afternoon (12-15);Less than 3 hours
36;AsO2;Share-4;Shared;Shared-5;12.01.2019 15:29;15;12.01.2019 18:09;18;6,56;2,669444444;Jan;Saturday;late afternoon (15-18);Less than 3 hours
37;UT9;Share-14;Shared;Shared-12;12.01.2019 15:53;15;12.01.2019 21:21;21;19;5,477222222;Jan;Saturday;late afternoon (15-18);Between 3 and 6 hours
38;AdO1;AdO1-2;Private;NA;12.01.2019 18:10;18;13.01.2019 18:42;18;6,19;24,53638889;Jan;Saturday;early evening (18-21);More than 18 hours
39;AdO3;AdO3-2;Private;NA;12.01.2019 21:43;21;13.01.2019 14:13;14;16,5;16,50194444;Jan;Saturday;late evening (21-midnight);Between 15 and 18 hours
40;AsO2;Share-4;Shared;Shared-5;13.01.2019 12:27;12;13.01.2019 16:16;16;5,72;3,818055556;Jan;Sunday;early afternoon (12-15);Between 3 and 6 hours
41;UT9;Share-12;Shared;Shared-12;13.01.2019 13:30;13;13.01.2019 16:23;16;14,4;2,879722222;Jan;Sunday;early afternoon (12-15);Less than 3 hours
42;Bl2;Share-8;Shared;Shared-6;13.01.2019 15:01;15;13.01.2019 18:20;18;18,48;3,311944444;Jan;Sunday;late afternoon (15-18);Between 3 and 6 hours
43;AdO3;AdO3-2;Private;NA;13.01.2019 17:07;17;14.01.2019 12:53;12;13,88;19,77722222;Jan;Sunday;late afternoon (15-18);More than 18 hours
44;Bl2;Bl2-4;Private;NA;14.01.2019 18:53;18;15.01.2019 10:06;10;14,21;15,20972222;Jan;Monday;early evening (18-21);Between 15 and 18 hours
45;UT9;Share-12;Shared;Shared-12;14.01.2019 19:52;19;15.01.2019 06:37;6;27,24;10,74611111;Jan;Monday;early evening (18-21);Between 9 and 12 hours
46;AdO1;AdO1-2;Private;NA;14.01.2019 21:05;21;15.01.2019 13:33;13;4,09;16,47166667;Jan;Monday;late evening (21-midnight);Between 15 and 18 hours
47;AdO1;AdO1-2;Private;NA;15.01.2019 15:28;15;15.01.2019 17:12;17;3,97;1,730555556;Jan;Tuesday;late afternoon (15-18);Less than 3 hours
48;AdO3;AdO3-4;Private;NA;15.01.2019 18:39;18;16.01.2019 08:24;8;15,47;13,74833333;Jan;Tuesday;early evening (18-21);Between 12 and 15 hours
49;AdO1;AdO1-2;Private;NA;15.01.2019 19:57;19;16.01.2019 10:15;10;5,29;14,30305556;Jan;Tuesday;early evening (18-21);Between 12 and 15 hours
50;Bl2;Bl2-2;Shared;Shared-6;15.01.2019 22:41;22;16.01.2019 07:52;7;14,61;9,182222222;Jan;Tuesday;late evening (21-midnight);Between 9 and 12 hours
51;Bl2;Share-8;Shared;Shared-7;15.01.2019 23:32;23;16.01.2019 11:08;11;22,31;11,5975;Jan;Tuesday;late evening (21-midnight);Between 9 and 12 hours
52;AdO1;AdO1-2;Private;NA;16.01.2019 13:44;13;17.01.2019 17:37;17;6,2;27,87416667;Jan;Wednesday;early afternoon (12-15);More than 18 hours
53;UT9;Share-14;Shared;Shared-12;17.01.2019 11:32;11;17.01.2019 12:18;12;2,83;0,773055556;Jan;Thursday;late morning (9-12);Less than 3 hours
54;UT9;Share-14;Shared;Shared-12;17.01.2019 12:51;12;17.01.2019 13:51;13;3,67;1,006666667;Jan;Thursday;early afternoon (12-15);Less than 3 hours
55;AdO3;AdO3-4;Private;NA;17.01.2019 17:39;17;18.01.2019 15:16;15;30,2;21,61916667;Jan;Thursday;late afternoon (15-18);More than 18 hours
56;AdO1;AdO1-2;Private;NA;17.01.2019 18:56;18;18.01.2019 18:20;18;9,25;23,40583333;Jan;Thursday;early evening (18-21);More than 18 hours
57;Bl2;Share-8;Shared;Shared-6;17.01.2019 22:16;22;18.01.2019 10:16;10;25,62;12,01138889;Jan;Thursday;late evening (21-midnight);Between 12 and 15 hours
58;UT9;Share-14;Shared;Shared-12;17.01.2019 22:48;22;18.01.2019 05:38;5;18,29;6,841944444;Jan;Thursday;late evening (21-midnight);Between 6 and 9  hours
59;AsO2;Share-6;Shared;Shared-5;18.01.2019 02:00;2;18.01.2019 02:08;2;0,75;0,1325;Jan;Friday;early night (midnight-3);Less than 3 hours
60;UT9;Share-6;Shared;Shared-11;18.01.2019 02:12;2;18.01.2019 02:30;2;1,45;0,309722222;Jan;Friday;early night (midnight-3);Less than 3 hours
61;Bl2;Bl2-4;Private;NA;18.01.2019 15:39;15;19.01.2019 10:47;10;20,53;19,12833333;Jan;Friday;late afternoon (15-18);More than 18 hours
62;UT9;Share-6;Shared;Shared-12;18.01.2019 22:33;22;19.01.2019 01:18;1;16,71;2,735;Jan;Friday;late evening (21-midnight);Less than 3 hours
63;Bl2;Share-8;Shared;Shared-6;18.01.2019 23:35;23;19.01.2019 04:00;4;13,06;4,411666667;Jan;Friday;late evening (21-midnight);Between 3 and 6 hours
64;AsO2;Share-4;Shared;Shared-5;19.01.2019 13:07;13;19.01.2019 16:35;16;8,79;3,454722222;Jan;Saturday;early afternoon (12-15);Between 3 and 6 hours
65;UT9;Share-12;Shared;Shared-12;19.01.2019 14:16;14;19.01.2019 19:47;19;29,73;5,527222222;Jan;Saturday;early afternoon (12-15);Between 3 and 6 hours
66;UT9;Share-6;Shared;Shared-12;19.01.2019 22:27;22;20.01.2019 00:57;0;14,84;2,502777778;Jan;Saturday;late evening (21-midnight);Less than 3 hours
67;Bl2;Bl2-2;Shared;Shared-6;20.01.2019 21:21;21;21.01.2019 10:14;10;19,43;12,88361111;Jan;Sunday;late evening (21-midnight);Between 12 and 15 hours
68;UT9;Share-12;Shared;Shared-12;21.01.2019 15:57;15;21.01.2019 18:40;18;16,65;2,709166667;Jan;Monday;late afternoon (15-18);Less than 3 hours
69;AdO1;AdO1-2;Private;NA;21.01.2019 16:27;16;29.01.2019 11:31;11;7,99;187,0569444;Jan;Monday;late afternoon (15-18);More than 18 hours
70;UT9;Share-12;Shared;Shared-12;22.01.2019 14:36;14;22.01.2019 18:39;18;24,36;4,046388889;Jan;Tuesday;early afternoon (12-15);Between 3 and 6 hours
71;Bl2;Share-8;Shared;Shared-6;22.01.2019 18:52;18;22.01.2019 23:13;23;18,47;4,346111111;Jan;Tuesday;early evening (18-21);Between 3 and 6 hours
72;UT9;Share-14;Shared;Shared-12;23.01.2019 11:48;11;23.01.2019 12:48;12;2,92;0,9975;Jan;Wednesday;late morning (9-12);Less than 3 hours
73;UT9;Share-12;Shared;Shared-12;23.01.2019 15:57;15;23.01.2019 20:50;20;20,48;4,878611111;Jan;Wednesday;late afternoon (15-18);Between 3 and 6 hours
74;Bl2;Bl2-4;Private;NA;23.01.2019 19:00;19;24.01.2019 05:17;5;15,66;10,28333333;Jan;Wednesday;early evening (18-21);Between 9 and 12 hours
75;UT9;Share-14;Shared;Shared-12;23.01.2019 21:43;21;24.01.2019 04:10;4;19,25;6,458055556;Jan;Wednesday;late evening (21-midnight);Between 6 and 9  hours
76;AsO2;Share-4;Shared;Shared-5;24.01.2019 16:33;16;25.01.2019 00:14;0;6,9;7,694166667;Jan;Thursday;late afternoon (15-18);Between 6 and 9  hours
77;Bl2;Share-8;Shared;Shared-6;24.01.2019 22:15;22;25.01.2019 07:29;7;18,47;9,231666667;Jan;Thursday;late evening (21-midnight);Between 9 and 12 hours
78;Bl2;Bl2-2;Shared;Shared-6;25.01.2019 13:29;13;25.01.2019 14:47;14;4,39;1,302777778;Jan;Friday;early afternoon (12-15);Less than 3 hours
79;Bl2;Bl2-1;Private;NA;25.01.2019 15:39;15;25.01.2019 15:52;15;0,71;0,204444444;Jan;Friday;late afternoon (15-18);Less than 3 hours
80;Bl2;Bl2-1;Private;NA;25.01.2019 15:52;15;25.01.2019 15:52;15;0,01;0,007777778;Jan;Friday;late afternoon (15-18);Less than 3 hours
81;Bl2;Bl2-1;Private;NA;25.01.2019 15:52;15;25.01.2019 16:01;16;0,47;0,143611111;Jan;Friday;late afternoon (15-18);Less than 3 hours
82;Bl2;Bl2-1;Private;NA;25.01.2019 16:04;16;25.01.2019 16:05;16;0,03;0,013055556;Jan;Friday;late afternoon (15-18);Less than 3 hours
83;Bl2;Bl2-1;Private;NA;25.01.2019 16:09;16;25.01.2019 16:50;16;2,39;0,669722222;Jan;Friday;late afternoon (15-18);Less than 3 hours
84;AsO2;Share-4;Shared;Shared-5;25.01.2019 16:47;16;25.01.2019 21:34;21;7,31;4,7925;Jan;Friday;late afternoon (15-18);Between 3 and 6 hours
85;Bl2;Bl2-1;Private;NA;25.01.2019 16:50;16;25.01.2019 16:53;16;0,09;0,056666667;Jan;Friday;late afternoon (15-18);Less than 3 hours
86;Bl2;Bl2-1;Private;NA;25.01.2019 16:54;16;25.01.2019 17:36;17;2,51;0,7025;Jan;Friday;late afternoon (15-18);Less than 3 hours
87;UT9;Share-12;Shared;Shared-12;25.01.2019 18:01;18;26.01.2019 10:34;10;27,02;16,545;Jan;Friday;early evening (18-21);Between 15 and 18 hours
88;Bl2;Bl2-1;Private;NA;25.01.2019 19:40;19;26.01.2019 12:58;12;10,6;17,31055556;Jan;Friday;early evening (18-21);Between 15 and 18 hours
89;Bl2;Bl2-2;Shared;Shared-6;25.01.2019 20:20;20;26.01.2019 00:22;0;14,63;4,032777778;Jan;Friday;early evening (18-21);Between 3 and 6 hours
90;AsO2;Share-4;Shared;Shared-5;26.01.2019 09:28;9;26.01.2019 10:57;10;2,59;1,481111111;Jan;Saturday;late morning (9-12);Less than 3 hours
91;Bl2;Bl2-2;Shared;Shared-6;26.01.2019 15:27;15;27.01.2019 09:57;9;20,57;18,48861111;Jan;Saturday;late afternoon (15-18);More than 18 hours
92;Bl2;Bl2-1;Private;NA;26.01.2019 17:34;17;26.01.2019 17:58;17;1,4;0,393055556;Jan;Saturday;late afternoon (15-18);Less than 3 hours
93;Bl2;Bl2-1;Private;NA;26.01.2019 18:47;18;27.01.2019 04:00;4;15,46;9,226111111;Jan;Saturday;early evening (18-21);Between 9 and 12 hours
94;Bl2;Share-8;Shared;Shared-7;26.01.2019 19:02;19;27.01.2019 08:35;8;19,11;13,55638889;Jan;Saturday;early evening (18-21);Between 12 and 15 hours
95;Bl2;Bl2-1;Private;NA;27.01.2019 04:00;4;27.01.2019 09:53;9;0,94;5,880833333;Jan;Sunday;late night (3-6);Between 3 and 6 hours
96;UT9;Share-12;Shared;Shared-12;27.01.2019 14:08;14;27.01.2019 18:11;18;24,05;4,054166667;Jan;Sunday;early afternoon (12-15);Between 3 and 6 hours
97;UT9;Share-6;Shared;Shared-11;27.01.2019 17:53;17;27.01.2019 21:53;21;22,78;4,003611111;Jan;Sunday;late afternoon (15-18);Between 3 and 6 hours
98;UT9;Share-12;Shared;Shared-12;27.01.2019 18:11;18;27.01.2019 19:47;19;1,55;1,5975;Jan;Sunday;early evening (18-21);Less than 3 hours
99;Bl2;Bl2-2;Shared;Shared-6;27.01.2019 19:33;19;28.01.2019 07:24;7;16,49;11,85944444;Jan;Sunday;early evening (18-21);Between 9 and 12 hours
100;Bl2;Share-8;Shared;Shared-7;27.01.2019 23:45;23;28.01.2019 09:55;9;15,59;10,17111111;Jan;Sunday;late evening (21-midnight);Between 9 and 12 hours
101;UT9;Share-14;Shared;Shared-12;28.01.2019 11:00;11;28.01.2019 13:54;13;10,64;2,9025;Jan;Monday;late morning (9-12);Less than 3 hours
102;Bl2;Bl2-2;Private;NA;28.01.2019 18:37;18;29.01.2019 11:32;11;6,99;16,91333333;Jan;Monday;early evening (18-21);Between 15 and 18 hours
103;Bl2;Bl2-1;Private;NA;28.01.2019 19:18;19;28.01.2019 22:38;22;9,06;3,336388889;Jan;Monday;early evening (18-21);Between 3 and 6 hours
104;Bl2;Bl2-4;Private;NA;29.01.2019 17:25;17;29.01.2019 20:27;20;19,88;3,046111111;Jan;Tuesday;late afternoon (15-18);Between 3 and 6 hours
105;Bl2;Bl2-1;Private;NA;29.01.2019 19:25;19;29.01.2019 21:06;21;5,86;1,672777778;Jan;Tuesday;early evening (18-21);Less than 3 hours
106;Bl2;Bl2-4;Private;NA;29.01.2019 20:27;20;30.01.2019 08:56;8;1,14;12,47277778;Jan;Tuesday;early evening (18-21);Between 12 and 15 hours
107;Bl2;Bl2-2;Private;NA;30.01.2019 00:13;0;30.01.2019 01:00;1;2,73;0,789444444;Jan;Wednesday;early night (midnight-3);Less than 3 hours
108;Bl2;Bl2-1;Private;NA;30.01.2019 07:47;7;30.01.2019 11:44;11;11;3,945277778;Jan;Wednesday;early morning (6-9);Between 3 and 6 hours
109;UT9;Share-14;Shared;Shared-12;30.01.2019 09:03;9;30.01.2019 13:17;13;15,47;4,231666667;Jan;Wednesday;late morning (9-12);Between 3 and 6 hours
110;Bl2;Bl2-1;Private;NA;30.01.2019 16:47;16;30.01.2019 20:19;20;6,9;3,538888889;Jan;Wednesday;late afternoon (15-18);Between 3 and 6 hours
111;UT9;Share-12;Shared;Shared-12;30.01.2019 19:06;19;31.01.2019 06:30;6;31,06;11,39638889;Jan;Wednesday;early evening (18-21);Between 9 and 12 hours
112;UT9;Share-14;Shared;Shared-12;31.01.2019 09:23;9;31.01.2019 11:47;11;8,82;2,388055556;Jan;Thursday;late morning (9-12);Less than 3 hours
113;AsO2;Share-4;Shared;Shared-5;31.01.2019 13:04;13;31.01.2019 15:03;15;3,24;1,971111111;Jan;Thursday;early afternoon (12-15);Less than 3 hours
114;UT9;Share-6;Shared;Shared-12;31.01.2019 13:49;13;31.01.2019 17:34;17;20,18;3,74;Jan;Thursday;early afternoon (12-15);Between 3 and 6 hours
115;Bl2;Bl2-2;Private;NA;31.01.2019 15:20;15;31.01.2019 18:03;18;9,52;2,718055556;Jan;Thursday;late afternoon (15-18);Less than 3 hours
116;UT9;Share-14;Shared;Shared-11;31.01.2019 15:41;15;31.01.2019 17:53;17;8,05;2,191666667;Jan;Thursday;late afternoon (15-18);Less than 3 hours
117;Bl2;Share-8;Shared;Shared-6;31.01.2019 16:25;16;31.01.2019 18:27;18;12,37;2,030277778;Jan;Thursday;late afternoon (15-18);Less than 3 hours
118;AsO2;AsO2-1;Private;NA;31.01.2019 18:34;18;01.02.2019 07:04;7;7,2;12,50194444;Jan;Thursday;early evening (18-21);Between 12 and 15 hours
119;UT9;Share-14;Shared;Shared-12;31.01.2019 20:14;20;01.02.2019 07:33;7;18,81;11,31111111;Jan;Thursday;early evening (18-21);Between 9 and 12 hours
120;Bl2;Bl2-2;Private;NA;31.01.2019 20:34;20;31.01.2019 21:23;21;2,51;0,813055556;Jan;Thursday;early evening (18-21);Less than 3 hours
121;Bl2;Bl2-1;Private;NA;01.02.2019 15:45;15;01.02.2019 18:06;18;8,43;2,354444444;Feb;Friday;late afternoon (15-18);Less than 3 hours
122;UT9;Share-14;Shared;Shared-12;01.02.2019 16:20;16;01.02.2019 20:00;20;13,48;3,663611111;Feb;Friday;late afternoon (15-18);Between 3 and 6 hours
123;AsO2;Share-4;Shared;Shared-5;01.02.2019 16:38;16;01.02.2019 17:29;17;2,7;0,850277778;Feb;Friday;late afternoon (15-18);Less than 3 hours
124;Bl2;Bl2-2;Shared;Shared-6;01.02.2019 18:09;18;01.02.2019 19:45;19;5,65;1,584444444;Feb;Friday;early evening (18-21);Less than 3 hours
125;Bl2;Bl2-1;Private;NA;01.02.2019 18:41;18;02.02.2019 11:49;11;7,95;17,13111111;Feb;Friday;early evening (18-21);Between 15 and 18 hours
126;AdO3;AdO3-2;Private;NA;01.02.2019 22:22;22;02.02.2019 12:56;12;11,78;14,57277778;Feb;Friday;late evening (21-midnight);Between 12 and 15 hours
127;AsO2;Share-4;Shared;Shared-5;02.02.2019 09:03;9;02.02.2019 14:26;14;6,1;5,377222222;Feb;Saturday;late morning (9-12);Between 3 and 6 hours
128;UT9;Share-12;Shared;Shared-12;02.02.2019 17:47;17;03.02.2019 08:31;8;26,88;14,73277778;Feb;Saturday;late afternoon (15-18);Between 12 and 15 hours
129;AsO2;AsO2-1;Private;NA;02.02.2019 18:12;18;02.02.2019 21:45;21;12,68;3,548055556;Feb;Saturday;early evening (18-21);Between 3 and 6 hours
130;Bl2;Share-8;Shared;Shared-6;03.02.2019 00:41;0;03.02.2019 09:52;9;20,36;9,1925;Feb;Sunday;early night (midnight-3);Between 9 and 12 hours
131;Bl2;Bl2-2;Shared;Shared-6;03.02.2019 16:58;16;03.02.2019 18:46;18;6,5;1,8025;Feb;Sunday;late afternoon (15-18);Less than 3 hours
132;Bl2;Bl2-2;Private;NA;03.02.2019 19:13;19;03.02.2019 20:28;20;4,44;1,243888889;Feb;Sunday;early evening (18-21);Less than 3 hours
133;Bl2;Bl2-2;Private;NA;03.02.2019 21:25;21;04.02.2019 08:12;8;8,63;10,79305556;Feb;Sunday;late evening (21-midnight);Between 9 and 12 hours
134;Bl2;Share-8;Shared;Shared-6;04.02.2019 16:00;16;14.02.2019 15:14;15;24,78;239,2402778;Feb;Monday;late afternoon (15-18);More than 18 hours
135;Bl2;Bl2-5;Private;NA;04.02.2019 17:37;17;04.02.2019 20:18;20;9,62;2,690555556;Feb;Monday;late afternoon (15-18);Less than 3 hours
136;Bl2;Bl2-1;Private;NA;04.02.2019 18:12;18;14.02.2019 15:14;15;12,31;237,0333333;Feb;Monday;early evening (18-21);More than 18 hours
137;AsO2;Share-4;Shared;Shared-5;04.02.2019 18:30;18;04.02.2019 20:03;20;5,33;1,556111111;Feb;Monday;early evening (18-21);Less than 3 hours
138;Bl2;Bl2-6;Private;NA;04.02.2019 20:12;20;14.02.2019 15:13;15;5,03;235,0202778;Feb;Monday;early evening (18-21);More than 18 hours
139;UT9;Share-14;Shared;Shared-12;04.02.2019 22:35;22;05.02.2019 05:17;5;17,91;6,695833333;Feb;Monday;late evening (21-midnight);Between 6 and 9  hours
140;AsO2;Share-4;Shared;Shared-5;05.02.2019 17:05;17;05.02.2019 18:15;18;3,94;1,159444444;Feb;Tuesday;late afternoon (15-18);Less than 3 hours
141;AsO2;AsO2-1;Private;NA;05.02.2019 17:21;17;06.02.2019 07:26;7;16,56;14,08527778;Feb;Tuesday;late afternoon (15-18);Between 12 and 15 hours
142;AsO2;AsO2-1;Private;NA;06.02.2019 19:47;19;07.02.2019 06:28;6;14,65;10,67444444;Feb;Wednesday;early evening (18-21);Between 9 and 12 hours
143;UT9;Share-12;Shared;Shared-12;07.02.2019 11:30;11;07.02.2019 16:19;16;28,39;4,821944444;Feb;Thursday;late morning (9-12);Between 3 and 6 hours
144;AsO2;Share-4;Shared;Shared-5;08.02.2019 16:58;16;08.02.2019 19:49;19;0,27;2,848055556;Feb;Friday;late afternoon (15-18);Less than 3 hours
145;AsO2;Share-4;Shared;Shared-5;08.02.2019 21:31;21;09.02.2019 09:55;9;6,88;12,40555556;Feb;Friday;late evening (21-midnight);Between 12 and 15 hours
146;AsO2;Share-4;Shared;Shared-5;09.02.2019 14:54;14;10.02.2019 09:28;9;6,44;18,56527778;Feb;Saturday;early afternoon (12-15);More than 18 hours
147;UT9;Share-12;Shared;Shared-12;09.02.2019 15:11;15;10.02.2019 03:00;3;28,55;11,82;Feb;Saturday;late afternoon (15-18);Between 9 and 12 hours
148;AsO2;AsO2-1;Private;NA;10.02.2019 15:42;15;10.02.2019 22:17;22;12,18;6,581111111;Feb;Sunday;late afternoon (15-18);Between 6 and 9  hours
149;AsO2;AsO2-1;Private;NA;11.02.2019 16:11;16;12.02.2019 11:29;11;12,78;19,29027778;Feb;Monday;late afternoon (15-18);More than 18 hours
150;UT9;Share-12;Shared;Shared-12;11.02.2019 20:47;20;12.02.2019 07:40;7;26,67;10,87916667;Feb;Monday;early evening (18-21);Between 9 and 12 hours
151;AsO2;AsO2-1;Private;NA;12.02.2019 16:49;16;12.02.2019 22:01;22;14,42;5,199444444;Feb;Tuesday;late afternoon (15-18);Between 3 and 6 hours
152;AsO2;AsO2-1;Private;NA;13.02.2019 18:20;18;14.02.2019 07:14;7;14,38;12,89083333;Feb;Wednesday;early evening (18-21);Between 12 and 15 hours
153;UT9;Share-14;Shared;Shared-12;13.02.2019 22:55;22;13.02.2019 22:56;22;0,01;0,010833333;Feb;Wednesday;late evening (21-midnight);Less than 3 hours
154;UT9;Share-14;Shared;Shared-12;13.02.2019 22:56;22;14.02.2019 06:57;6;16,82;8,015555556;Feb;Wednesday;late evening (21-midnight);Between 6 and 9  hours
155;UT9;Share-12;Shared;Shared-12;14.02.2019 16:07;16;14.02.2019 17:40;17;9,53;1,559722222;Feb;Thursday;late afternoon (15-18);Less than 3 hours
156;AsO2;AsO2-1;Private;NA;14.02.2019 16:45;16;15.02.2019 02:30;2;10,94;9,746111111;Feb;Thursday;late afternoon (15-18);Between 9 and 12 hours
157;UT9;Share-12;Shared;Shared-12;14.02.2019 17:40;17;14.02.2019 21:29;21;21,42;3,805;Feb;Thursday;late afternoon (15-18);Between 3 and 6 hours
158;Bl2;Bl2-2;Private;NA;14.02.2019 19:17;19;15.02.2019 09:32;9;13,8;14,25305556;Feb;Thursday;early evening (18-21);Between 12 and 15 hours
159;Bl2;Share-8;Shared;Shared-6;15.02.2019 09:30;9;15.02.2019 10:14;10;4,41;0,730555556;Feb;Friday;late morning (9-12);Less than 3 hours
160;AdO1;AdO1-2;Private;NA;15.02.2019 13:20;13;16.02.2019 15:48;15;4,93;26,45611111;Feb;Friday;early afternoon (12-15);More than 18 hours
161;Bl2;Bl2-6;Private;NA;15.02.2019 15:03;15;16.02.2019 10:28;10;10,21;19,41722222;Feb;Friday;late afternoon (15-18);More than 18 hours
162;Bl2;Bl2-5;Private;NA;15.02.2019 15:48;15;15.02.2019 16:18;16;1,82;0,515555556;Feb;Friday;late afternoon (15-18);Less than 3 hours
