date_from;daily_hour;weekday;month;Synthetic_3_6kW;Synthetic_7_2kW;Flex_3_6kW;Flex_7_2kW;n_private
22.12.2018 16:00;16;Saturday;Dec;2,7;5,4;0;0;2
22.12.2018 17:00;17;Saturday;Dec;3,6;7,2;0;0;2
22.12.2018 18:00;18;Saturday;Dec;3,6;2,96;0;4,24;2
22.12.2018 19:00;19;Saturday;Dec;3,6;0;0;7,2;2
22.12.2018 20:00;20;Saturday;Dec;2,06;0;1,54;7,2;2
22.12.2018 21:00;21;Saturday;Dec;0;0;3,6;7,2;2
22.12.2018 22:00;22;Saturday;Dec;0;0;3,6;7,2;2
22.12.2018 23:00;23;Saturday;Dec;0;0;3,6;7,2;2
23.12.2018 00:00;0;Sunday;Dec;0;0;3,6;7,2;2
23.12.2018 01:00;1;Sunday;Dec;0;0;3,6;7,2;2
23.12.2018 02:00;2;Sunday;Dec;0;0;3,6;7,2;2
23.12.2018 03:00;3;Sunday;Dec;0;0;3,6;7,2;2
23.12.2018 04:00;4;Sunday;Dec;0;0;3,6;7,2;2
23.12.2018 05:00;5;Sunday;Dec;0;0;3,6;7,2;2
23.12.2018 06:00;6;Sunday;Dec;0;0;3,6;7,2;2
23.12.2018 07:00;7;Sunday;Dec;0;0;3,6;7,2;2
23.12.2018 08:00;8;Sunday;Dec;0;0;3,6;7,2;2
23.12.2018 09:00;9;Sunday;Dec;0;0;3,6;7,2;2
23.12.2018 10:00;10;Sunday;Dec;0;0;3,6;7,2;2
23.12.2018 11:00;11;Sunday;Dec;0;0;3,6;7,2;2
23.12.2018 12:00;12;Sunday;Dec;0;0;3,6;7,2;2
23.12.2018 13:00;13;Sunday;Dec;0;0;3,6;7,2;2
23.12.2018 14:00;14;Sunday;Dec;0;0;3,6;7,2;2
23.12.2018 15:00;15;Sunday;Dec;0;0;3,6;7,2;2
23.12.2018 16:00;16;Sunday;Dec;0;0;2,411;4,822;2
23.12.2018 17:00;17;Sunday;Dec;0;0;0;0;2
23.12.2018 18:00;18;Sunday;Dec;0;0;0;0;2
23.12.2018 19:00;19;Sunday;Dec;0;0;0;0;2
23.12.2018 20:00;20;Sunday;Dec;0;0;0;0;2
23.12.2018 21:00;21;Sunday;Dec;0;0;0;0;2
23.12.2018 22:00;22;Sunday;Dec;0;0;0;0;2
23.12.2018 23:00;23;Sunday;Dec;0;0;0;0;2
24.12.2018 00:00;0;Monday;Dec;0;0;0;0;2
24.12.2018 01:00;1;Monday;Dec;0;0;0;0;2
24.12.2018 02:00;2;Monday;Dec;0;0;0;0;2
24.12.2018 03:00;3;Monday;Dec;0;0;0;0;2
24.12.2018 04:00;4;Monday;Dec;0;0;0;0;2
24.12.2018 05:00;5;Monday;Dec;0;0;0;0;2
24.12.2018 06:00;6;Monday;Dec;0;0;0;0;2
24.12.2018 07:00;7;Monday;Dec;0;0;0;0;2
24.12.2018 08:00;8;Monday;Dec;0;0;0;0;2
24.12.2018 09:00;9;Monday;Dec;0;0;0;0;2
24.12.2018 10:00;10;Monday;Dec;0;0;0;0;2
24.12.2018 11:00;11;Monday;Dec;0;0;0;0;2
24.12.2018 12:00;12;Monday;Dec;0;0;0;0;2
24.12.2018 13:00;13;Monday;Dec;0;0;0;0;2
24.12.2018 14:00;14;Monday;Dec;0;0;0;0;2
24.12.2018 15:00;15;Monday;Dec;0;0;0;0;2
24.12.2018 16:00;16;Monday;Dec;0;0;0;0;2
24.12.2018 17:00;17;Monday;Dec;0;0;0;0;2
24.12.2018 18:00;18;Monday;Dec;0;0;0;0;2
24.12.2018 19:00;19;Monday;Dec;0;0;0;0;2
24.12.2018 20:00;20;Monday;Dec;0;0;0;0;2
24.12.2018 21:00;21;Monday;Dec;0;0;0;0;2
24.12.2018 22:00;22;Monday;Dec;3,42;3,62;0;3,368;2
24.12.2018 23:00;23;Monday;Dec;1,88;3,36;0;0;2
25.12.2018 00:00;0;Tuesday;Dec;3,6;7,2;0;0;2
25.12.2018 01:00;1;Tuesday;Dec;3,6;5,58;0;1,62;2
25.12.2018 02:00;2;Tuesday;Dec;3,6;0;0;7,2;2
25.12.2018 03:00;3;Tuesday;Dec;3,6;0;0;7,2;2
25.12.2018 04:00;4;Tuesday;Dec;0,06;0;3,54;7,2;2
25.12.2018 05:00;5;Tuesday;Dec;0;0;3,6;7,2;2
25.12.2018 06:00;6;Tuesday;Dec;0;0;3,6;7,2;2
25.12.2018 07:00;7;Tuesday;Dec;0;0;3,6;7,2;2
25.12.2018 08:00;8;Tuesday;Dec;0;0;3,6;7,2;2
25.12.2018 09:00;9;Tuesday;Dec;0;0;3,6;7,2;2
25.12.2018 10:00;10;Tuesday;Dec;0;0;3,6;7,2;2
25.12.2018 11:00;11;Tuesday;Dec;0;0;3,6;7,2;2
25.12.2018 12:00;12;Tuesday;Dec;0;0;3,6;7,2;2
25.12.2018 13:00;13;Tuesday;Dec;0;0;3,6;7,2;2
25.12.2018 14:00;14;Tuesday;Dec;0;0;3,6;7,2;2
25.12.2018 15:00;15;Tuesday;Dec;0;0;3,6;7,2;2
25.12.2018 16:00;16;Tuesday;Dec;0;0;3,6;7,2;2
25.12.2018 17:00;17;Tuesday;Dec;0;0;2,2;4,4;2
25.12.2018 18:00;18;Tuesday;Dec;2,1;4,2;0;0;2
25.12.2018 19:00;19;Tuesday;Dec;3,6;6,13;0;1,07;2
25.12.2018 20:00;20;Tuesday;Dec;3,6;0;0;7,2;2
25.12.2018 21:00;21;Tuesday;Dec;1,03;0;2,57;7,2;2
25.12.2018 22:00;22;Tuesday;Dec;0;0;3,6;7,2;2
25.12.2018 23:00;23;Tuesday;Dec;0;0;3,6;7,2;2
26.12.2018 00:00;0;Wednesday;Dec;0;0;3,6;7,2;2
26.12.2018 01:00;1;Wednesday;Dec;0;0;3,6;7,2;2
26.12.2018 02:00;2;Wednesday;Dec;0;0;3,6;7,2;2
26.12.2018 03:00;3;Wednesday;Dec;0;0;3,6;7,2;2
26.12.2018 04:00;4;Wednesday;Dec;0;0;3,6;7,2;2
26.12.2018 05:00;5;Wednesday;Dec;0;0;3,6;7,2;2
26.12.2018 06:00;6;Wednesday;Dec;0;0;3,6;7,2;2
26.12.2018 07:00;7;Wednesday;Dec;0;0;3,6;7,2;2
26.12.2018 08:00;8;Wednesday;Dec;0;0;3,6;7,2;2
26.12.2018 09:00;9;Wednesday;Dec;0;0;3,6;7,2;2
26.12.2018 10:00;10;Wednesday;Dec;1,14;2,28;3,6;7,2;2
26.12.2018 11:00;11;Wednesday;Dec;3,6;7,2;3,6;7,2;2
26.12.2018 12:00;12;Wednesday;Dec;3,6;7,2;3,6;7,2;2
26.12.2018 13:00;13;Wednesday;Dec;3,6;7,2;3,6;7,2;2
26.12.2018 14:00;14;Wednesday;Dec;3,6;3,78;3,6;10,62;2
26.12.2018 15:00;15;Wednesday;Dec;3,6;0;3,6;14,4;2
26.12.2018 16:00;16;Wednesday;Dec;3,6;0;0,495;7,264;2
26.12.2018 17:00;17;Wednesday;Dec;3,6;0;0;0;2
26.12.2018 18:00;18;Wednesday;Dec;2,16;1,68;0;0;2
26.12.2018 19:00;19;Wednesday;Dec;3,6;7,15;0;0,05;2
26.12.2018 20:00;20;Wednesday;Dec;3,6;0;0;7,2;2
26.12.2018 21:00;21;Wednesday;Dec;0,79;0;0;0,992;2
26.12.2018 22:00;22;Wednesday;Dec;0;0;0;0;2
26.12.2018 23:00;23;Wednesday;Dec;0;0;0;0;2
27.12.2018 00:00;0;Thursday;Dec;0;0;0;0;2
27.12.2018 01:00;1;Thursday;Dec;0;0;0;0;2
27.12.2018 02:00;2;Thursday;Dec;0;0;0;0;2
27.12.2018 03:00;3;Thursday;Dec;0;0;0;0;2
27.12.2018 04:00;4;Thursday;Dec;0;0;0;0;2
27.12.2018 05:00;5;Thursday;Dec;0;0;0;0;2
27.12.2018 06:00;6;Thursday;Dec;0;0;0;0;2
27.12.2018 07:00;7;Thursday;Dec;0;0;0;0;2
27.12.2018 08:00;8;Thursday;Dec;0;0;0;0;2
27.12.2018 09:00;9;Thursday;Dec;0;0;0;0;2
27.12.2018 10:00;10;Thursday;Dec;0;0;0;0;2
27.12.2018 11:00;11;Thursday;Dec;0;0;0;0;2
27.12.2018 12:00;12;Thursday;Dec;0;0;0;0;2
27.12.2018 13:00;13;Thursday;Dec;0;0;0;0;2
27.12.2018 14:00;14;Thursday;Dec;0;0;0;0;2
27.12.2018 15:00;15;Thursday;Dec;0;0;0;0;2
27.12.2018 16:00;16;Thursday;Dec;0;0;0;0;2
27.12.2018 17:00;17;Thursday;Dec;0;0;0;0;2
27.12.2018 18:00;18;Thursday;Dec;0;0;0;0;2
27.12.2018 19:00;19;Thursday;Dec;0;0;0;0;2
27.12.2018 20:00;20;Thursday;Dec;0;0;0;0;2
27.12.2018 21:00;21;Thursday;Dec;0;0;0;0;2
27.12.2018 22:00;22;Thursday;Dec;0;0;0;0;2
27.12.2018 23:00;23;Thursday;Dec;0;0;0;0;2
28.12.2018 00:00;0;Friday;Dec;0;0;0;0;2
28.12.2018 01:00;1;Friday;Dec;0;0;0;0;2
28.12.2018 02:00;2;Friday;Dec;0;0;0;0;2
28.12.2018 03:00;3;Friday;Dec;0;0;0;0;2
28.12.2018 04:00;4;Friday;Dec;0;0;0;0;2
28.12.2018 05:00;5;Friday;Dec;0;0;0;0;2
28.12.2018 06:00;6;Friday;Dec;0;0;0;0;2
28.12.2018 07:00;7;Friday;Dec;0;0;0;0;2
28.12.2018 08:00;8;Friday;Dec;0;0;0;0;2
28.12.2018 09:00;9;Friday;Dec;0;0;0;0;2
28.12.2018 10:00;10;Friday;Dec;0;0;0;0;2
28.12.2018 11:00;11;Friday;Dec;0;0;0;0;2
28.12.2018 12:00;12;Friday;Dec;0;0;0;0;2
28.12.2018 13:00;13;Friday;Dec;0;0;0;0;2
28.12.2018 14:00;14;Friday;Dec;0;0;0;0;2
28.12.2018 15:00;15;Friday;Dec;0;0;0;0;2
28.12.2018 16:00;16;Friday;Dec;0;0;0;0;2
28.12.2018 17:00;17;Friday;Dec;0;0;0;0;2
28.12.2018 18:00;18;Friday;Dec;0;0;0;0;2
28.12.2018 19:00;19;Friday;Dec;0;0;0;0;2
28.12.2018 20:00;20;Friday;Dec;0;0;0;0;2
28.12.2018 21:00;21;Friday;Dec;0;0;0;0;2
28.12.2018 22:00;22;Friday;Dec;0;0;0;0;2
28.12.2018 23:00;23;Friday;Dec;0;0;0;0;2
29.12.2018 00:00;0;Saturday;Dec;0;0;0;0;2
29.12.2018 01:00;1;Saturday;Dec;0;0;0;0;2
29.12.2018 02:00;2;Saturday;Dec;0;0;0;0;2
29.12.2018 03:00;3;Saturday;Dec;0;0;0;0;2
29.12.2018 04:00;4;Saturday;Dec;0;0;0;0;2
29.12.2018 05:00;5;Saturday;Dec;0;0;0;0;2
29.12.2018 06:00;6;Saturday;Dec;0;0;0;0;2
29.12.2018 07:00;7;Saturday;Dec;0;0;0;0;2
29.12.2018 08:00;8;Saturday;Dec;0;0;0;0;2
29.12.2018 09:00;9;Saturday;Dec;0;0;0;0;2
29.12.2018 10:00;10;Saturday;Dec;0;0;0;0;2
29.12.2018 11:00;11;Saturday;Dec;0;0;0;0;2
29.12.2018 12:00;12;Saturday;Dec;0;0;0;0;2
29.12.2018 13:00;13;Saturday;Dec;0;0;0;0;2
29.12.2018 14:00;14;Saturday;Dec;0;0;0;0;2
29.12.2018 15:00;15;Saturday;Dec;0;0;0;0;2
29.12.2018 16:00;16;Saturday;Dec;3,36;6,72;0;0;2
29.12.2018 17:00;17;Saturday;Dec;3,6;1,86;0;5,34;2
29.12.2018 18:00;18;Saturday;Dec;1,62;0;1,98;7,2;2
29.12.2018 19:00;19;Saturday;Dec;0;0;3,6;7,2;2
29.12.2018 20:00;20;Saturday;Dec;0;0;3,322;6,644;2
29.12.2018 21:00;21;Saturday;Dec;0;0;0;0;2
29.12.2018 22:00;22;Saturday;Dec;0;0;0;0;2
29.12.2018 23:00;23;Saturday;Dec;0,72;1,44;0;0;2
30.12.2018 00:00;0;Sunday;Dec;3,6;7,2;0;0;2
30.12.2018 01:00;1;Sunday;Dec;3,6;7,2;0;0;2
30.12.2018 02:00;2;Sunday;Dec;3,6;0,11;0;7,09;2
30.12.2018 03:00;3;Sunday;Dec;3,6;0;0;7,2;2
30.12.2018 04:00;4;Sunday;Dec;0,83;0;2,77;7,2;2
30.12.2018 05:00;5;Sunday;Dec;0;0;3,6;7,2;2
30.12.2018 06:00;6;Sunday;Dec;0;0;3,6;7,2;2
30.12.2018 07:00;7;Sunday;Dec;0;0;3,6;7,2;2
30.12.2018 08:00;8;Sunday;Dec;0;0;3,6;7,2;2
30.12.2018 09:00;9;Sunday;Dec;0;0;3,6;7,2;2
30.12.2018 10:00;10;Sunday;Dec;0;0;3,6;7,2;2
30.12.2018 11:00;11;Sunday;Dec;0;0;3,6;7,2;2
30.12.2018 12:00;12;Sunday;Dec;0;0;3,6;7,2;2
30.12.2018 13:00;13;Sunday;Dec;0;0;3,6;7,2;2
30.12.2018 14:00;14;Sunday;Dec;0;0;3,6;7,2;2
30.12.2018 15:00;15;Sunday;Dec;0;0;0,822;1,644;2
30.12.2018 16:00;16;Sunday;Dec;2,16;3,64;0;3,424;2
30.12.2018 17:00;17;Sunday;Dec;1,48;0;0;0;2
30.12.2018 18:00;18;Sunday;Dec;0;0;0;0;2
30.12.2018 19:00;19;Sunday;Dec;0;0;0;0;2
30.12.2018 20:00;20;Sunday;Dec;0;0;0;0;2
30.12.2018 21:00;21;Sunday;Dec;0;0;0;0;2
30.12.2018 22:00;22;Sunday;Dec;3,6;7,2;0;0;2
30.12.2018 23:00;23;Sunday;Dec;3,6;2,59;0;4,61;2
31.12.2018 00:00;0;Monday;Dec;2,59;0;1,01;7,2;2
31.12.2018 01:00;1;Monday;Dec;0;0;3,6;7,2;2
31.12.2018 02:00;2;Monday;Dec;0;0;3,6;7,2;2
31.12.2018 03:00;3;Monday;Dec;0;0;3,6;7,2;2
31.12.2018 04:00;4;Monday;Dec;0;0;3,6;7,2;2
31.12.2018 05:00;5;Monday;Dec;0;0;3,6;7,2;2
31.12.2018 06:00;6;Monday;Dec;0;0;3,6;7,2;2
31.12.2018 07:00;7;Monday;Dec;0;0;3,6;7,2;2
31.12.2018 08:00;8;Monday;Dec;0;0;3,6;7,2;2
31.12.2018 09:00;9;Monday;Dec;0;0;3,6;7,2;2
31.12.2018 10:00;10;Monday;Dec;0;0;3,6;7,2;2
31.12.2018 11:00;11;Monday;Dec;0;0;1,637;3,274;2
31.12.2018 12:00;12;Monday;Dec;0;0;0;0;2
31.12.2018 13:00;13;Monday;Dec;0;0;0;0;2
31.12.2018 14:00;14;Monday;Dec;0;0;0;0;2
31.12.2018 15:00;15;Monday;Dec;0;0;0;0;2
31.12.2018 16:00;16;Monday;Dec;0;0;0;0;2
31.12.2018 17:00;17;Monday;Dec;0;0;0;0;2
31.12.2018 18:00;18;Monday;Dec;0;0;0;0;2
31.12.2018 19:00;19;Monday;Dec;0;0;0;0;2
31.12.2018 20:00;20;Monday;Dec;0;0;0;0;2
31.12.2018 21:00;21;Monday;Dec;0;0;0;0;2
31.12.2018 22:00;22;Monday;Dec;0;0;0;0;2
31.12.2018 23:00;23;Monday;Dec;0;0;0;0;2
01.01.2019 00:00;0;Tuesday;Jan;0;0;0;0;2
01.01.2019 01:00;1;Tuesday;Jan;0;0;0;0;2
01.01.2019 02:00;2;Tuesday;Jan;0;0;0;0;2
01.01.2019 03:00;3;Tuesday;Jan;0;0;0;0;2
01.01.2019 04:00;4;Tuesday;Jan;0;0;0;0;2
01.01.2019 05:00;5;Tuesday;Jan;0;0;0;0;2
01.01.2019 06:00;6;Tuesday;Jan;0;0;0;0;2
01.01.2019 07:00;7;Tuesday;Jan;0;0;0;0;2
01.01.2019 08:00;8;Tuesday;Jan;0;0;0;0;2
01.01.2019 09:00;9;Tuesday;Jan;0;0;0;0;2
01.01.2019 10:00;10;Tuesday;Jan;0;0;0;0;2
01.01.2019 11:00;11;Tuesday;Jan;0;0;0;0;2
01.01.2019 12:00;12;Tuesday;Jan;0;0;0;0;2
01.01.2019 13:00;13;Tuesday;Jan;0;0;0;0;2
01.01.2019 14:00;14;Tuesday;Jan;0;0;0;0;2
01.01.2019 15:00;15;Tuesday;Jan;0;0;0;0;2
01.01.2019 16:00;16;Tuesday;Jan;0;0;0;0;2
01.01.2019 17:00;17;Tuesday;Jan;0;0;0;0;2
01.01.2019 18:00;18;Tuesday;Jan;0;0;0;0;2
01.01.2019 19:00;19;Tuesday;Jan;0;0;0;0;2
01.01.2019 20:00;20;Tuesday;Jan;0;0;0;0;2
01.01.2019 21:00;21;Tuesday;Jan;0;0;0;0;2
01.01.2019 22:00;22;Tuesday;Jan;0;0;0;0;2
01.01.2019 23:00;23;Tuesday;Jan;0;0;0;0;2
02.01.2019 00:00;0;Wednesday;Jan;0;0;0;0;3
02.01.2019 01:00;1;Wednesday;Jan;0;0;0;0;3
02.01.2019 02:00;2;Wednesday;Jan;0;0;0;0;3
02.01.2019 03:00;3;Wednesday;Jan;0;0;0;0;3
02.01.2019 04:00;4;Wednesday;Jan;0;0;0;0;3
02.01.2019 05:00;5;Wednesday;Jan;0;0;0;0;3
02.01.2019 06:00;6;Wednesday;Jan;0;0;0;0;3
02.01.2019 07:00;7;Wednesday;Jan;0;0;0;0;3
02.01.2019 08:00;8;Wednesday;Jan;1,26;2,52;0;0;3
02.01.2019 09:00;9;Wednesday;Jan;3,6;7,2;0;0;3
02.01.2019 10:00;10;Wednesday;Jan;3,6;7,2;0;0;3
02.01.2019 11:00;11;Wednesday;Jan;3,6;7,2;0;0;3
02.01.2019 12:00;12;Wednesday;Jan;3,6;3,99;0;3,21;3
02.01.2019 13:00;13;Wednesday;Jan;3,6;0;0;7,2;3
02.01.2019 14:00;14;Wednesday;Jan;3,6;0;0;7,2;3
02.01.2019 15:00;15;Wednesday;Jan;3,6;0;0;7,2;3
02.01.2019 16:00;16;Wednesday;Jan;1,65;0;1,95;7,2;3
02.01.2019 17:00;17;Wednesday;Jan;0;0;3,6;7,2;3
02.01.2019 18:00;18;Wednesday;Jan;0;0;3,6;7,2;3
02.01.2019 19:00;19;Wednesday;Jan;0,06;0,12;3,6;7,2;3
02.01.2019 20:00;20;Wednesday;Jan;3,6;7,2;3,6;7,2;3
02.01.2019 21:00;21;Wednesday;Jan;3,6;7,2;3,6;7,2;3
02.01.2019 22:00;22;Wednesday;Jan;3,6;0,12;3,6;14,28;3
02.01.2019 23:00;23;Wednesday;Jan;3,6;0;3,6;14,4;3
03.01.2019 00:00;0;Thursday;Jan;0,18;0;6,527;13,414;3
03.01.2019 01:00;1;Thursday;Jan;0;0;3,6;7,2;3
03.01.2019 02:00;2;Thursday;Jan;0;0;3,6;7,2;3
03.01.2019 03:00;3;Thursday;Jan;0;0;3,6;7,2;3
03.01.2019 04:00;4;Thursday;Jan;0;0;3,6;7,2;3
03.01.2019 05:00;5;Thursday;Jan;0;0;3,6;7,2;3
03.01.2019 06:00;6;Thursday;Jan;0;0;3,6;7,2;3
03.01.2019 07:00;7;Thursday;Jan;0;0;3,6;7,2;3
03.01.2019 08:00;8;Thursday;Jan;0;0;3,6;7,2;3
03.01.2019 09:00;9;Thursday;Jan;0;0;0,662;1,324;3
03.01.2019 10:00;10;Thursday;Jan;0;0;0;0;3
03.01.2019 11:00;11;Thursday;Jan;0;0;0;0;3
03.01.2019 12:00;12;Thursday;Jan;0;0;0;0;3
03.01.2019 13:00;13;Thursday;Jan;0;0;0;0;3
03.01.2019 14:00;14;Thursday;Jan;0;0;0;0;3
03.01.2019 15:00;15;Thursday;Jan;0;0;0;0;3
03.01.2019 16:00;16;Thursday;Jan;0;0;0;0;3
03.01.2019 17:00;17;Thursday;Jan;0;0;0;0;3
03.01.2019 18:00;18;Thursday;Jan;0;0;0;0;3
03.01.2019 19:00;19;Thursday;Jan;0;0;0;0;3
03.01.2019 20:00;20;Thursday;Jan;0;0;0;0;3
03.01.2019 21:00;21;Thursday;Jan;0;0;0;0;3
03.01.2019 22:00;22;Thursday;Jan;0;0;0;0;3
03.01.2019 23:00;23;Thursday;Jan;0;0;0;0;3
04.01.2019 00:00;0;Friday;Jan;0;0;0;0;3
04.01.2019 01:00;1;Friday;Jan;0;0;0;0;3
04.01.2019 02:00;2;Friday;Jan;0;0;0;0;3
04.01.2019 03:00;3;Friday;Jan;0;0;0;0;3
04.01.2019 04:00;4;Friday;Jan;0;0;0;0;3
04.01.2019 05:00;5;Friday;Jan;0;0;0;0;3
04.01.2019 06:00;6;Friday;Jan;0;0;0;0;3
04.01.2019 07:00;7;Friday;Jan;0;0;0;0;3
04.01.2019 08:00;8;Friday;Jan;0;0;0;0;3
04.01.2019 09:00;9;Friday;Jan;0;0;0;0;3
04.01.2019 10:00;10;Friday;Jan;0;0;0;0;3
04.01.2019 11:00;11;Friday;Jan;0;0;0;0;3
04.01.2019 12:00;12;Friday;Jan;0;0;0;0;3
04.01.2019 13:00;13;Friday;Jan;0;0;0;0;3
04.01.2019 14:00;14;Friday;Jan;0;0;0;0;3
04.01.2019 15:00;15;Friday;Jan;0,96;1,92;0;0;3
04.01.2019 16:00;16;Friday;Jan;1,04;0,08;2,56;7,12;3
04.01.2019 17:00;17;Friday;Jan;0;0;3,6;7,2;3
04.01.2019 18:00;18;Friday;Jan;0;0;3,6;7,2;3
04.01.2019 19:00;19;Friday;Jan;0;0;3,6;7,2;3
04.01.2019 20:00;20;Friday;Jan;0;0;3,6;7,2;3
04.01.2019 21:00;21;Friday;Jan;0;0;3,6;7,2;3
04.01.2019 22:00;22;Friday;Jan;0;0;3,6;7,2;3
04.01.2019 23:00;23;Friday;Jan;0;0;3,6;7,2;3
05.01.2019 00:00;0;Saturday;Jan;0;0;3,6;7,2;4
05.01.2019 01:00;1;Saturday;Jan;0;0;3,6;7,2;4
05.01.2019 02:00;2;Saturday;Jan;0;0;3,6;7,2;4
05.01.2019 03:00;3;Saturday;Jan;0;0;3,6;7,2;4
05.01.2019 04:00;4;Saturday;Jan;0;0;3,6;7,2;4
05.01.2019 05:00;5;Saturday;Jan;0;0;3,6;7,2;4
05.01.2019 06:00;6;Saturday;Jan;0;0;3,6;7,2;4
05.01.2019 07:00;7;Saturday;Jan;0;0;3,6;7,2;4
05.01.2019 08:00;8;Saturday;Jan;0;0;0,389;0,778;4
05.01.2019 09:00;9;Saturday;Jan;0;0;0;0;4
05.01.2019 10:00;10;Saturday;Jan;0;0;0;0;4
05.01.2019 11:00;11;Saturday;Jan;0;0;0;0;4
05.01.2019 12:00;12;Saturday;Jan;0;0;0;0;4
05.01.2019 13:00;13;Saturday;Jan;0;0;0;0;4
05.01.2019 14:00;14;Saturday;Jan;0;0;0;0;4
05.01.2019 15:00;15;Saturday;Jan;0;0;0;0;4
05.01.2019 16:00;16;Saturday;Jan;0;0;0;0;4
05.01.2019 17:00;17;Saturday;Jan;3;6;0;0;4
05.01.2019 18:00;18;Saturday;Jan;6,96;13,92;0;0;4
05.01.2019 19:00;19;Saturday;Jan;7,2;14,4;0;0;4
05.01.2019 20:00;20;Saturday;Jan;10,44;14,53;0;6,35;4
05.01.2019 21:00;21;Saturday;Jan;10,8;5,72;0;15,88;4
05.01.2019 22:00;22;Saturday;Jan;7,81;0;2,99;21,6;4
05.01.2019 23:00;23;Saturday;Jan;3,62;0;7,18;21,6;4
06.01.2019 00:00;0;Sunday;Jan;3,6;0;7,2;21,6;4
06.01.2019 01:00;1;Sunday;Jan;1,14;0;9,66;21,6;4
06.01.2019 02:00;2;Sunday;Jan;0;0;10,8;21,6;4
06.01.2019 03:00;3;Sunday;Jan;0;0;10,8;21,6;4
06.01.2019 04:00;4;Sunday;Jan;0;0;10,8;21,6;4
06.01.2019 05:00;5;Sunday;Jan;0;0;10,8;21,6;4
06.01.2019 06:00;6;Sunday;Jan;0;0;10,8;21,6;4
06.01.2019 07:00;7;Sunday;Jan;0;0;10,8;21,6;4
06.01.2019 08:00;8;Sunday;Jan;0;0;10,8;21,6;4
06.01.2019 09:00;9;Sunday;Jan;0;0;10,8;21,6;4
06.01.2019 10:00;10;Sunday;Jan;0;0;10,8;21,6;4
06.01.2019 11:00;11;Sunday;Jan;0;0;10,8;21,6;4
06.01.2019 12:00;12;Sunday;Jan;0;0;10,8;21,6;4
06.01.2019 13:00;13;Sunday;Jan;0;0;8,592;17,184;4
06.01.2019 14:00;14;Sunday;Jan;0;0;7,2;14,4;4
06.01.2019 15:00;15;Sunday;Jan;0;0;7,2;14,4;4
06.01.2019 16:00;16;Sunday;Jan;0;0;5,07;10,14;4
06.01.2019 17:00;17;Sunday;Jan;0;0;2,349;4,698;4
06.01.2019 18:00;18;Sunday;Jan;3,48;3,92;0;7,2;4
06.01.2019 19:00;19;Sunday;Jan;0,44;0;3,16;7,2;4
06.01.2019 20:00;20;Sunday;Jan;0;0;3,6;6,734;4
06.01.2019 21:00;21;Sunday;Jan;0;0;1,847;0;4
06.01.2019 22:00;22;Sunday;Jan;0;0;0;0;4
06.01.2019 23:00;23;Sunday;Jan;0;0;0;0;4
07.01.2019 00:00;0;Monday;Jan;0;0;0;0;4
07.01.2019 01:00;1;Monday;Jan;0;0;0;0;4
07.01.2019 02:00;2;Monday;Jan;0;0;0;0;4
07.01.2019 03:00;3;Monday;Jan;0;0;0;0;4
07.01.2019 04:00;4;Monday;Jan;0;0;0;0;4
07.01.2019 05:00;5;Monday;Jan;0;0;0;0;4
07.01.2019 06:00;6;Monday;Jan;0;0;0;0;4
07.01.2019 07:00;7;Monday;Jan;0;0;0;0;4
07.01.2019 08:00;8;Monday;Jan;0;0;0;0;4
